CustomerID,Age,Gender,MaritalStatus,EmploymentStatus,MonthlyIncome_Naira,StoreLocation,PreferredShoppingChannel,MembershipTier,YearsAsCustomer,VisitsPerMonth,Q1_ProductAvailability,Q2_StaffHelpfulness,Q3_StoreCleanliness,Q4_CheckoutSpeed,Q5_ValueForMoney,MonthlySpend_Naira,OverallSatisfaction,LikelihoodToRecommend,ReturnsPast6Months,WouldShopAgain
2013,61,Male,Single,Employed,154200.0,Abuja,Mobile App,Platinum,9.8,2,1,1,1.0,2,3,,2.0,0,3,No
2014,18,Female,Married,Employed,302300.0,Lagos,Mobile App,Regular,1.2,1,3,4,,3,3,32500.0,5.0,5,1,No
2015,41,Male,Single,Self-employed,159700.0,Abuja,Social Media Order,Regular,4.0,0,5,5,5.0,4,5,20900.0,9.0,10,0,Yes
2016,57,Female,Widowed,Employed,275200.0,Lagos,Website,Platinum,5.7,7,3,3,,4,3,64000.0,4.0,4,2,Yes
2017,24,Male,Married,Student,100700.0,Port Harcourt,In-Store,Regular,1.8,0,2,1,1.0,2,2,10900.0,5.0,5,0,Yes
2018,56,Male,Married,Unemployed,53000.0,Abuja,Mobile App,Platinum,1.9,4,2,3,4.0,2,3,16200.0,7.0,5,2,Yes
2019,23,Female,Single,Employed,144800.0,Ibadan,Mobile App,Gold,0.8,2,5,5,4.0,5,4,28900.0,10.0,10,0,Yes
2020,40,Female,Married,Self-employed,204600.0,Ibadan,Social Media Order,Silver,6.5,1,2,2,,2,3,29100.0,,3,3,No
2021,57,Male,Married,Self-employed,195600.0,Lagos,In-Store,Silver,1.9,5,3,4,4.0,3,4,32800.0,6.0,6,1,Yes
2022,32,Female,Married,Employed,203400.0,Lagos,Mobile App,Regular,3.4,3,2,4,2.0,3,4,23800.0,7.0,6,2,Yes
2023,34,Female,Divorced,Employed,292500.0,Ibadan,Social Media Order,Regular,3.1,1,2,3,2.0,2,2,30800.0,4.0,2,2,Yes
2024,31,Female,Single,Unemployed,52900.0,Abuja,In-Store,Regular,0.2,1,5,5,5.0,5,5,12000.0,10.0,10,0,Yes
2025,52,Female,Single,Self-employed,195200.0,Lagos,In-Store,Regular,6.0,1,4,4,2.0,3,4,27100.0,4.0,4,1,No
2026,30,Female,Married,Student,65800.0,Lagos,Mobile App,Silver,0.2,4,2,2,2.0,2,3,12400.0,6.0,6,1,Yes
2027,65,Male,Married,Employed,209700.0,Ibadan,In-Store,Platinum,10.1,4,3,3,3.0,3,1,51300.0,6.0,6,1,Yes
2028,39,Male,Single,Self-employed,171400.0,Port Harcourt,Social Media Order,Silver,4.7,5,4,3,,3,3,36000.0,7.0,6,2,Yes
2029,40,Male,Married,Unemployed,42800.0,Lagos,In-Store,Platinum,3.4,6,4,4,4.0,4,3,18900.0,6.0,5,3,No
2030,42,Male,Single,Unemployed,62500.0,Abuja,In-Store,Gold,4.7,2,3,3,4.0,3,4,12400.0,6.0,6,1,No
2031,45,Male,Married,Employed,146800.0,Abuja,In-Store,Regular,8.8,1,4,4,3.0,2,3,17500.0,5.0,4,4,Yes
2032,44,Female,Married,Self-employed,146200.0,Abuja,Website,Silver,7.0,2,2,2,1.0,1,2,23700.0,,4,0,No
2033,42,Female,Single,Employed,286200.0,Ibadan,In-Store,Regular,6.2,1,4,4,4.0,3,4,,6.0,5,2,Yes
2034,65,Male,Married,Student,50800.0,Ibadan,Social Media Order,Regular,12.1,2,3,3,2.0,4,3,7500.0,6.0,4,1,Yes
2035,56,Female,Single,Employed,144600.0,Lagos,Social Media Order,Platinum,3.0,3,2,2,2.0,3,3,37100.0,4.0,3,1,No
2036,56,Female,Divorced,Employed,229400.0,Lagos,Social Media Order,Regular,11.9,2,1,2,2.0,1,2,19900.0,2.0,1,5,No
2037,51,Female,Married,Student,47900.0,Abuja,In-Store,Regular,7.3,2,2,2,3.0,3,2,5000.0,6.0,5,1,No
2038,47,Female,Single,Self-employed,154300.0,Kano,In-Store,Regular,8.3,1,3,3,2.0,2,2,10700.0,4.0,5,1,No
2039,34,Male,Married,Self-employed,174900.0,Port Harcourt,In-Store,Silver,2.8,1,3,3,3.0,4,4,25000.0,6.0,3,0,Yes
2040,65,Female,Married,Retired,135900.0,Port Harcourt,Social Media Order,Silver,13.2,1,1,2,2.0,1,2,9600.0,2.0,2,4,No
2041,40,Male,Married,Employed,270200.0,Port Harcourt,Website,Regular,0.9,2,4,4,2.0,4,2,41800.0,3.0,0,4,No
2042,28,Female,Single,Employed,332500.0,Lagos,In-Store,Gold,1.0,5,4,3,,3,3,74900.0,6.0,4,0,No
2043,58,Female,Married,Employed,288900.0,Kano,Website,Regular,2.0,0,2,3,1.0,2,2,35000.0,,1,1,No
2044,25,Male,Married,Employed,215800.0,Lagos,Social Media Order,Gold,0.5,5,3,1,2.0,3,2,42000.0,5.0,2,3,Yes
2045,59,Male,Divorced,Employed,217100.0,Port Harcourt,Social Media Order,Silver,8.3,4,2,3,2.0,2,3,34400.0,2.0,0,1,No
2046,47,Male,Single,Self-employed,180600.0,Lagos,Website,Silver,0.6,2,4,4,5.0,4,4,36400.0,5.0,5,0,Yes
2047,23,Female,Married,Retired,112000.0,Abuja,Website,Silver,1.3,4,1,1,1.0,1,1,16300.0,1.0,1,2,No
2048,20,Female,Married,Self-employed,308600.0,Ibadan,Website,Silver,0.2,1,2,3,2.0,5,3,49900.0,5.0,4,4,Yes
2049,39,Female,Married,Self-employed,97200.0,Abuja,In-Store,Platinum,5.9,1,1,1,1.0,2,1,16900.0,3.0,2,1,Yes
2050,19,Male,Single,Employed,146600.0,Lagos,In-Store,Gold,0.2,5,4,4,2.0,3,3,30100.0,4.0,6,2,No
2051,24,Female,Married,Self-employed,252300.0,Abuja,Website,Regular,0.2,4,4,3,4.0,3,4,31200.0,8.0,7,2,Yes
2052,42,Female,Single,Student,99000.0,Port Harcourt,In-Store,Silver,5.7,2,2,2,3.0,3,2,9600.0,3.0,2,1,No
2053,64,Female,Single,Self-employed,145100.0,Lagos,In-Store,Regular,10.1,0,3,3,3.0,2,3,13200.0,5.0,7,0,No
2054,40,Female,Married,Student,94900.0,Lagos,Social Media Order,Regular,4.3,2,3,3,1.0,2,2,12000.0,3.0,4,0,No
2055,56,Female,Single,Self-employed,173500.0,Lagos,Mobile App,Regular,12.2,0,5,5,5.0,5,5,29900.0,9.0,8,0,Yes
2056,62,Male,Married,Employed,241500.0,Abuja,Mobile App,Regular,2.0,1,5,4,4.0,3,3,26700.0,8.0,9,2,Yes
2057,57,Male,Married,Self-employed,95900.0,Abuja,Social Media Order,Platinum,8.3,5,4,4,4.0,5,3,35700.0,7.0,7,0,Yes
2058,48,Male,Married,Self-employed,281700.0,Abuja,In-Store,Gold,7.0,0,1,2,,3,2,54200.0,4.0,4,5,Yes
2059,39,Male,Married,Employed,116700.0,Lagos,Social Media Order,Gold,5.6,3,1,2,1.0,2,2,19200.0,4.0,4,1,Yes
2060,42,Male,Married,Self-employed,163400.0,Port Harcourt,Social Media Order,Gold,4.9,2,4,4,4.0,4,4,35800.0,6.0,4,0,Yes
2061,30,Male,Married,Student,116100.0,Lagos,In-Store,Regular,1.8,0,4,3,2.0,2,3,13300.0,4.0,5,2,No
2062,41,Female,Married,Employed,320900.0,Ibadan,In-Store,Silver,1.9,5,2,2,3.0,2,3,52500.0,5.0,5,3,Yes
2063,36,Male,Married,Self-employed,283200.0,Ibadan,In-Store,Silver,4.5,3,4,4,4.0,4,3,,,4,2,Yes
2064,29,Female,Married,Student,108100.0,Abuja,Social Media Order,Regular,2.2,2,1,2,2.0,2,2,,4.0,3,3,No
2065,65,Male,Married,Employed,172400.0,Abuja,In-Store,Silver,5.6,0,4,4,3.0,4,3,30800.0,5.0,6,0,Yes
2066,18,Female,Single,Employed,111400.0,Kano,In-Store,Gold,1.0,3,4,4,3.0,3,4,14500.0,,5,0,No
2067,22,Male,Married,Employed,214300.0,Lagos,Social Media Order,Regular,1.7,2,4,2,3.0,3,3,27800.0,7.0,6,1,Yes
2068,27,Male,Single,Self-employed,99200.0,Kano,Mobile App,Regular,0.9,1,2,1,1.0,3,3,15600.0,4.0,5,2,No
2069,64,Female,Married,Self-employed,316800.0,Lagos,Mobile App,Silver,11.7,1,2,3,4.0,2,2,53700.0,5.0,5,2,No
2070,51,Female,Single,Self-employed,105500.0,Port Harcourt,Website,Silver,4.4,3,2,2,2.0,2,2,18200.0,4.0,2,0,No
2071,60,Female,Married,Employed,170900.0,Lagos,In-Store,Silver,11.8,1,3,4,3.0,5,5,31700.0,7.0,7,2,Yes
2072,27,Female,Married,Student,51900.0,Port Harcourt,In-Store,Gold,0.6,2,5,4,4.0,5,4,14900.0,8.0,8,1,Yes
2073,52,Female,Married,Unemployed,36400.0,Ibadan,Mobile App,Regular,3.7,1,4,4,,3,4,5400.0,7.0,7,1,Yes
2074,35,Male,Single,Employed,230500.0,Lagos,In-Store,Regular,2.5,1,4,4,4.0,3,4,26100.0,7.0,8,2,Yes
2075,41,Female,Married,Employed,147700.0,Kano,Mobile App,Regular,5.7,3,3,3,4.0,4,3,18200.0,6.0,6,0,Yes
2076,18,Male,Single,Employed,335100.0,Abuja,Website,Regular,0.2,1,1,1,1.0,2,1,26900.0,,3,2,No
2077,47,Female,Married,Unemployed,60800.0,Abuja,Mobile App,Gold,2.7,4,3,3,3.0,3,3,18700.0,5.0,7,3,No
2078,57,Female,Married,Unemployed,47600.0,Lagos,Mobile App,Platinum,10.4,10,3,4,3.0,2,2,18700.0,4.0,3,1,No
2079,49,Female,Married,Employed,289500.0,Lagos,In-Store,Gold,8.8,2,3,2,3.0,3,3,61400.0,6.0,8,0,Yes
2080,25,Male,Married,Employed,297500.0,Lagos,In-Store,Regular,1.4,1,3,3,3.0,3,3,31500.0,3.0,5,1,Yes
2081,43,Male,Single,Employed,186200.0,Port Harcourt,Social Media Order,Regular,5.0,3,1,2,2.0,1,2,15700.0,4.0,5,2,No
2082,30,Male,Single,Self-employed,304700.0,Lagos,In-Store,Gold,2.2,2,2,3,2.0,3,2,57400.0,3.0,5,1,No
2083,64,Male,Married,Unemployed,82500.0,Port Harcourt,Mobile App,Platinum,12.7,6,4,3,5.0,3,5,29100.0,7.0,7,2,Yes
2084,60,Female,Married,Employed,227900.0,Ibadan,In-Store,Silver,6.8,2,4,5,5.0,5,4,42900.0,7.0,5,0,Yes
2085,26,Female,Married,Employed,182300.0,Ibadan,Social Media Order,Regular,1.3,1,1,3,2.0,3,1,20000.0,4.0,5,5,Yes
2086,42,Male,Married,Self-employed,284700.0,Ibadan,In-Store,Regular,0.2,2,2,3,1.0,2,1,,4.0,4,2,No
2087,63,Female,Married,Self-employed,277000.0,Kano,Mobile App,Silver,10.5,1,4,4,5.0,4,5,54300.0,8.0,8,0,Yes
2088,58,Female,Married,Student,52700.0,Lagos,Mobile App,Gold,4.3,4,2,2,,3,2,,4.0,4,3,No
2089,51,Male,Single,Self-employed,109600.0,Ibadan,Website,Regular,4.5,2,5,5,5.0,5,5,16200.0,10.0,10,1,Yes
2090,48,Female,Single,Employed,315200.0,Lagos,Social Media Order,Regular,4.0,5,3,4,4.0,2,3,38500.0,6.0,6,1,No
2091,20,Female,Single,Employed,261600.0,Ibadan,Website,Regular,0.5,0,3,3,2.0,2,1,34800.0,3.0,2,2,No
2092,53,Male,Single,Retired,88500.0,Ibadan,In-Store,Regular,5.1,1,4,4,4.0,3,5,11200.0,,8,1,Yes
2093,40,Female,Single,Student,89700.0,Port Harcourt,In-Store,Gold,0.2,5,5,4,4.0,4,5,28800.0,9.0,9,5,Yes
2094,22,Female,Widowed,Employed,173600.0,Abuja,Website,Silver,2.1,2,2,2,2.0,1,3,27400.0,4.0,3,1,No
2095,29,Female,Single,Student,101700.0,Lagos,Social Media Order,Platinum,0.5,7,4,5,5.0,3,5,32100.0,10.0,8,2,Yes
2096,43,Male,Married,Employed,171500.0,Abuja,In-Store,Regular,6.6,1,3,3,4.0,2,1,23400.0,4.0,3,1,No
2097,52,Female,Single,Student,41900.0,Lagos,Website,Regular,4.7,0,4,5,5.0,4,5,5400.0,9.0,7,2,Yes
2098,42,Female,Married,Employed,125900.0,Lagos,In-Store,Gold,2.2,3,3,4,3.0,3,2,21200.0,6.0,6,1,Yes
2099,47,Female,Divorced,Unemployed,35000.0,Lagos,Mobile App,Silver,9.3,4,2,1,2.0,2,1,,3.0,4,1,No
2100,59,Female,Married,Employed,338700.0,Kano,Mobile App,Regular,7.6,1,3,4,3.0,3,5,,7.0,9,3,Yes
2101,50,Male,Single,Self-employed,150000.0,Ibadan,Mobile App,Silver,6.1,4,5,4,4.0,3,4,28000.0,4.0,5,2,Yes
2102,35,Female,Single,Self-employed,186700.0,Lagos,Social Media Order,Silver,4.5,3,4,5,5.0,5,5,36500.0,9.0,9,0,Yes
2103,48,Female,Married,Self-employed,301100.0,Lagos,Mobile App,Gold,7.1,2,4,5,4.0,3,5,76400.0,10.0,10,2,Yes
2104,46,Female,Married,Employed,96200.0,Lagos,In-Store,Silver,,0,3,5,3.0,2,3,19600.0,5.0,6,0,Yes
2105,23,Male,Married,Employed,192800.0,Lagos,Website,Regular,2.3,0,4,2,3.0,3,3,10000.0,5.0,4,2,No
2106,20,Male,Single,Employed,313400.0,Lagos,Mobile App,Platinum,0.2,8,2,2,2.0,3,2,78800.0,5.0,5,1,No
2107,49,Female,Married,Employed,133200.0,Port Harcourt,Mobile App,Silver,2.0,0,3,2,1.0,3,3,12800.0,6.0,6,1,Yes
2108,36,Male,Single,Employed,304200.0,Abuja,In-Store,Gold,1.2,4,2,2,3.0,2,3,56500.0,6.0,5,5,Yes
2109,46,Female,Married,Employed,290700.0,Abuja,Mobile App,Silver,6.3,1,3,2,2.0,2,3,40300.0,3.0,2,1,Yes
2110,33,Female,Single,Self-employed,137500.0,Lagos,In-Store,Regular,1.7,1,1,1,1.0,1,1,11900.0,1.0,0,1,No
2111,28,Male,Single,Employed,267200.0,Port Harcourt,In-Store,Regular,1.0,2,3,3,3.0,3,4,38200.0,7.0,6,3,Yes
2112,25,Male,Married,Self-employed,215100.0,Lagos,In-Store,Regular,0.2,4,4,3,2.0,2,3,18900.0,4.0,2,3,No
2113,36,Male,Married,Employed,285300.0,Abuja,Mobile App,Regular,,2,5,5,5.0,5,5,,10.0,10,1,Yes
2114,57,Female,Married,Employed,172500.0,Abuja,In-Store,Regular,8.1,0,4,4,4.0,3,4,22300.0,9.0,8,1,Yes
2115,37,Male,Married,Employed,195600.0,Ibadan,Website,Silver,,3,3,3,4.0,2,3,21200.0,6.0,6,4,No
2116,36,Male,Married,Student,54800.0,Lagos,Website,Regular,5.8,0,3,4,4.0,4,3,9600.0,7.0,7,1,Yes
2117,45,Male,Single,Employed,181400.0,Port Harcourt,In-Store,Regular,8.4,1,2,1,2.0,2,2,18700.0,1.0,2,5,No
2118,64,Female,Married,Employed,130800.0,Lagos,Mobile App,Gold,11.8,2,3,1,1.0,2,3,22700.0,4.0,3,1,No
2119,36,Female,Single,Student,117800.0,Ibadan,Social Media Order,Regular,4.8,0,1,1,1.0,1,1,8100.0,3.0,3,3,Yes
2120,46,Male,Single,Employed,331500.0,Abuja,In-Store,Regular,4.0,3,5,5,4.0,4,4,,8.0,5,0,Yes
2121,39,Male,Married,Unemployed,35000.0,Abuja,Mobile App,Gold,3.5,4,3,4,4.0,4,3,6100.0,7.0,3,0,Yes
2122,47,Female,Married,Unemployed,51300.0,Ibadan,Mobile App,Silver,6.5,2,2,1,2.0,1,2,5000.0,6.0,3,6,Yes
2123,39,Male,Single,Employed,226900.0,Port Harcourt,Mobile App,Silver,1.7,2,3,2,3.0,3,2,31400.0,5.0,7,0,Yes
2124,48,Male,Married,Student,50000.0,Lagos,Social Media Order,Regular,4.7,1,5,3,4.0,2,4,5200.0,,3,2,No
2125,44,Male,Married,Employed,161400.0,Lagos,In-Store,Silver,1.6,2,4,3,3.0,3,5,25100.0,7.0,7,1,Yes
2126,50,Male,Married,Employed,343500.0,Ibadan,Social Media Order,Regular,0.6,2,3,4,2.0,4,4,,6.0,7,1,Yes
2127,63,Male,Single,Self-employed,168900.0,Lagos,Mobile App,Gold,10.9,5,1,2,2.0,3,1,26700.0,4.0,3,1,Yes
2128,25,Female,Married,Self-employed,210600.0,Lagos,Website,Gold,0.8,3,3,2,1.0,2,2,41800.0,4.0,6,3,No
2129,44,Female,Single,Unemployed,107600.0,Ibadan,Mobile App,Regular,4.9,0,4,3,2.0,3,4,11100.0,6.0,8,2,Yes
2130,39,Male,Married,Employed,179300.0,Lagos,Website,Regular,6.0,2,3,5,4.0,4,4,18400.0,7.0,8,1,No
2131,35,Male,Single,Student,90100.0,Lagos,In-Store,Gold,5.1,1,1,2,2.0,2,3,13300.0,3.0,6,2,No
2132,29,Female,Married,Self-employed,120900.0,Lagos,Website,Regular,1.6,0,1,2,2.0,2,2,11000.0,3.0,4,4,No
2133,20,Male,Single,Employed,267100.0,Lagos,In-Store,Silver,1.7,1,5,4,5.0,4,5,50800.0,8.0,6,0,Yes
2134,37,Male,Married,Retired,172200.0,Abuja,Mobile App,Gold,3.7,3,1,1,2.0,2,2,33100.0,3.0,3,4,No
2135,57,Male,Married,Self-employed,274800.0,Port Harcourt,Mobile App,Gold,10.7,5,4,4,4.0,5,4,62000.0,9.0,8,2,Yes
2136,22,Male,Married,Employed,329500.0,Lagos,In-Store,Gold,1.2,6,3,4,3.0,4,3,69300.0,7.0,5,3,Yes
2137,37,Female,Single,Unemployed,63200.0,Lagos,In-Store,Silver,0.2,1,5,4,4.0,3,4,11800.0,6.0,4,1,Yes
2138,64,Male,Widowed,Employed,356700.0,Kano,Website,Gold,4.6,7,5,5,,4,5,96200.0,9.0,10,0,Yes
2139,63,Male,Single,Employed,183500.0,Kano,Website,Silver,6.2,1,4,3,4.0,4,4,28500.0,9.0,7,3,Yes
2140,28,Female,Single,Employed,239700.0,Abuja,Mobile App,Regular,2.6,2,3,4,3.0,3,4,33300.0,8.0,7,1,Yes
2141,18,Female,Single,Unemployed,45900.0,Lagos,In-Store,Silver,,2,3,3,1.0,2,2,9300.0,4.0,3,5,No
2142,50,Male,Single,Employed,133400.0,Abuja,Mobile App,Regular,8.3,2,3,2,2.0,3,2,10900.0,5.0,5,3,No
2143,18,Male,Single,Unemployed,70200.0,Port Harcourt,In-Store,Gold,1.6,5,4,3,3.0,3,3,16200.0,6.0,5,0,Yes
2144,32,Female,Married,Self-employed,245500.0,Abuja,Mobile App,Gold,1.2,2,4,3,5.0,5,4,60000.0,7.0,6,2,Yes
2145,41,Male,Married,Employed,312400.0,Ibadan,Mobile App,Regular,5.8,1,4,4,5.0,4,4,41900.0,9.0,7,1,Yes
2146,59,Female,Single,Self-employed,88100.0,Abuja,Mobile App,Regular,4.9,4,5,4,,5,5,15800.0,10.0,7,0,Yes
2147,22,Male,Single,Self-employed,288900.0,Abuja,Mobile App,Silver,0.7,1,3,2,3.0,4,3,50900.0,7.0,5,1,Yes
2148,49,Female,Single,Self-employed,130900.0,Lagos,In-Store,Silver,11.5,2,4,4,4.0,3,3,25400.0,6.0,6,1,Yes
2149,43,Female,Married,Student,54700.0,Abuja,Website,Platinum,6.2,8,4,5,4.0,5,4,15400.0,8.0,10,3,Yes
2150,24,Female,Married,Self-employed,275400.0,Kano,Mobile App,Platinum,0.2,1,3,2,4.0,3,3,73600.0,5.0,6,2,No
2151,58,Female,Divorced,Retired,211300.0,Kano,Website,Platinum,4.3,3,3,3,3.0,3,3,64800.0,,8,4,Yes
2152,58,Male,Married,Employed,272400.0,Lagos,In-Store,Gold,4.0,3,2,2,1.0,2,1,44200.0,4.0,4,2,No
2153,41,Male,Married,Student,62000.0,Ibadan,In-Store,Silver,6.5,5,3,4,3.0,5,4,11700.0,7.0,6,1,Yes
2154,63,Female,Married,Employed,212000.0,Port Harcourt,Mobile App,Regular,8.1,2,2,2,2.0,3,1,25700.0,4.0,2,3,Yes
2155,47,Female,Married,Student,92200.0,Abuja,Mobile App,Regular,2.7,1,5,3,4.0,3,5,12300.0,5.0,5,0,Yes
2156,61,Male,Single,Unemployed,35000.0,Abuja,Social Media Order,Regular,10.4,0,1,1,1.0,2,1,6100.0,2.0,0,3,No
2157,64,Male,Single,Retired,181900.0,Kano,Social Media Order,Gold,7.1,3,4,3,4.0,3,4,42700.0,9.0,8,1,Yes
2158,45,Female,Single,Employed,270200.0,Lagos,In-Store,Regular,7.1,3,3,1,2.0,2,2,31400.0,5.0,7,4,No
2159,31,Female,Married,Self-employed,194800.0,Port Harcourt,Website,Regular,3.2,1,4,5,3.0,4,4,30900.0,7.0,7,2,Yes
2160,24,Female,Single,Retired,194500.0,Port Harcourt,In-Store,Regular,0.4,0,1,1,1.0,3,1,,3.0,4,1,No
2161,45,Male,Married,Retired,113100.0,Abuja,Mobile App,Regular,2.2,2,2,2,4.0,1,4,13600.0,3.0,2,0,No
2162,27,Male,Married,Employed,271300.0,Ibadan,In-Store,Gold,0.3,4,5,4,5.0,5,4,63000.0,8.0,5,0,Yes
2163,54,Female,Single,Retired,140900.0,Abuja,In-Store,Regular,9.1,2,3,2,2.0,3,3,13700.0,5.0,4,3,No
2164,62,Female,Single,Employed,208000.0,Abuja,Mobile App,Regular,13.0,2,4,3,4.0,3,4,25100.0,4.0,3,2,No
2165,29,Female,Single,Employed,216300.0,Lagos,Mobile App,Gold,2.8,2,3,3,2.0,2,2,37100.0,,6,2,No
2166,44,Female,Single,Student,102000.0,Ibadan,Mobile App,Gold,4.8,6,1,1,1.0,1,2,18000.0,2.0,4,2,No
2167,20,Female,Widowed,Self-employed,214900.0,Lagos,Mobile App,Silver,0.5,1,3,3,2.0,3,4,41600.0,6.0,5,1,Yes
2168,26,Female,Single,Self-employed,114700.0,Port Harcourt,Mobile App,Silver,0.9,3,4,3,4.0,4,4,25600.0,5.0,4,5,No
2169,36,Female,Single,Employed,326100.0,Abuja,In-Store,Regular,4.1,1,1,2,2.0,1,1,39000.0,4.0,3,1,No
2170,60,Male,Single,Self-employed,309600.0,Ibadan,Mobile App,Gold,12.9,3,4,3,5.0,4,4,63600.0,5.0,4,0,Yes
2171,64,Female,Married,Employed,137500.0,Ibadan,In-Store,Gold,6.7,3,3,2,2.0,2,2,31500.0,6.0,4,1,No
2172,48,Male,Single,Employed,317800.0,Lagos,Mobile App,Silver,5.7,4,3,3,2.0,3,2,40700.0,4.0,4,0,Yes
2173,46,Female,Married,Student,73900.0,Ibadan,Mobile App,Regular,6.8,4,2,3,2.0,3,4,8700.0,4.0,4,3,No
2174,45,Female,Single,Self-employed,134800.0,Port Harcourt,Mobile App,Regular,9.8,0,3,2,3.0,3,3,22200.0,6.0,6,2,Yes
2175,20,Female,Single,Self-employed,270700.0,Lagos,In-Store,Regular,0.2,2,5,5,5.0,5,5,37100.0,10.0,8,3,Yes
2176,36,Male,Married,Student,93800.0,Abuja,Mobile App,Regular,4.0,0,1,1,1.0,2,1,12500.0,2.0,2,2,No
2177,65,Male,Single,Employed,268000.0,Lagos,In-Store,Regular,7.3,2,4,3,2.0,4,4,36100.0,9.0,6,1,Yes
2178,37,Male,Married,Employed,308100.0,Abuja,In-Store,Silver,3.7,6,3,3,5.0,3,5,53200.0,6.0,7,0,Yes
2179,28,Male,Single,Employed,218900.0,Lagos,In-Store,Silver,,2,1,1,2.0,2,1,22500.0,2.0,1,1,No
2180,29,Female,Single,Employed,144800.0,Abuja,Mobile App,Regular,0.9,1,1,1,1.0,2,2,,4.0,3,4,No
2181,52,Female,Married,Student,91400.0,Lagos,Social Media Order,Silver,1.7,5,3,4,4.0,5,5,13400.0,4.0,3,3,Yes
2182,19,Male,Single,Employed,243900.0,Port Harcourt,In-Store,Regular,1.0,1,3,2,3.0,1,2,31800.0,6.0,5,0,No
2183,64,Female,Divorced,Employed,319500.0,Kano,In-Store,Regular,9.5,0,3,4,4.0,3,3,45000.0,6.0,4,1,Yes
2184,60,Female,Married,Self-employed,150500.0,Ibadan,Mobile App,Silver,9.7,6,4,5,4.0,5,4,21200.0,8.0,5,1,Yes
2185,45,Male,Married,Employed,314700.0,Lagos,In-Store,Silver,3.2,4,2,2,4.0,2,3,44900.0,4.0,6,3,No
2186,40,Female,Single,Employed,308200.0,Abuja,Social Media Order,Regular,3.3,5,2,2,2.0,2,3,31000.0,4.0,4,5,No
2187,54,Female,Married,Self-employed,169700.0,Lagos,In-Store,Gold,7.4,3,1,1,1.0,2,1,18600.0,1.0,1,2,No
2188,44,Male,Married,Student,75100.0,Abuja,In-Store,Silver,6.8,0,3,4,3.0,4,3,7500.0,5.0,7,4,No
2189,40,Male,Married,Employed,205200.0,Ibadan,Mobile App,Silver,4.0,4,2,2,1.0,2,2,28800.0,3.0,3,6,No
2190,33,Female,Single,Self-employed,96400.0,Lagos,In-Store,Gold,1.5,2,3,3,3.0,4,4,19600.0,5.0,5,0,No
2191,39,Female,Divorced,Employed,174700.0,Ibadan,In-Store,Gold,4.9,5,2,3,4.0,4,3,30000.0,7.0,6,1,Yes
2192,54,Male,Married,Employed,191800.0,Port Harcourt,In-Store,Gold,9.2,6,1,1,2.0,2,1,30500.0,2.0,3,0,No
2193,20,Female,Single,Self-employed,115000.0,Lagos,Website,Gold,0.6,4,5,5,4.0,5,5,30400.0,8.0,8,0,No
2194,19,Female,Single,Employed,288100.0,Kano,Social Media Order,Silver,0.2,2,4,4,4.0,4,3,46000.0,7.0,7,1,Yes
2195,52,Female,Single,Employed,208300.0,Lagos,In-Store,Gold,3.9,2,4,4,3.0,3,4,43100.0,7.0,6,0,Yes
2196,35,Male,Married,Self-employed,203200.0,Ibadan,Website,Regular,2.1,2,2,1,2.0,2,2,27300.0,4.0,4,6,Yes
