customer_id,date,month,month_num,day_of_week,quarter,age,gender,region,occupation,segment,product,channel,amount,balance,tenure_months,num_products,monthly_txn,credit_score,satisfaction,fees_paid,churned,is_fraud
CUST-01033,2024-06-20,June,6,Thursday,Q2,35,Female,Enugu,Entrepreneur,SME,Mobile Loan,Branch,250000,2332000,68,5,7,707,8.2,800,No,No
CUST-01034,2024-04-02,April,4,Tuesday,Q2,24,Female,Ibadan,Doctor,Student,Fixed Deposit,USSD,14000,171000,88,2,40,338,5.6,0,No,No
CUST-01035,2024-08-03,August,8,Saturday,Q3,57,Male,Abuja,Lawyer,Premium,Mobile Loan,Agent Banking,1216000,2203000,91,1,8,445,8.6,3000,Yes,No
CUST-01036,2024-04-03,April,4,Wednesday,Q2,35,Male,Lagos,Accountant,Premium,Credit Card,Agent Banking,750000,9185000,44,1,24,608,8.0,1900,No,No
CUST-01037,2024-11-02,November,11,Saturday,Q4,40,Male,Kano,Engineer,Corporate,Investment Fund,Branch,11465000,50913000,20,3,26,848,9.1,34400,No,No
CUST-01038,2024-07-23,July,7,Tuesday,Q3,44,Female,Port Harcourt,Lawyer,Premium,Credit Card,Mobile App,155000,202000,71,2,40,452,7.6,200,Yes,No
CUST-01039,2024-03-10,March,3,Sunday,Q1,34,Female,Port Harcourt,Doctor,Premium,Fixed Deposit,Branch,605000,7839000,97,5,32,740,8.6,1800,No,No
CUST-01040,2024-07-05,July,7,Friday,Q3,38,Male,Port Harcourt,Accountant,Premium,Mobile Loan,USSD,283000,3456000,7,2,1,664,7.1,600,No,No
CUST-01041,2024-09-06,September,9,Friday,Q3,43,Male,Lagos,Teacher,Retail,Mortgage,Branch,127000,309000,32,3,17,526,7.1,400,No,No
CUST-01042,2024-11-12,November,11,Tuesday,Q4,71,Male,Port Harcourt,Trader,SME,Credit Card,Mobile App,446000,1473000,12,2,7,549,5.9,400,No,No
CUST-01043,2024-07-09,July,7,Tuesday,Q3,33,Male,Ibadan,Farmer,Retail,Mobile Loan,Web Portal,26000,298000,79,3,20,425,6.6,0,No,No
CUST-01044,2024-03-15,March,3,Friday,Q1,39,Male,Enugu,Student,Student,Mortgage,Web Portal,10000,78000,84,3,30,363,5.9,0,No,No
CUST-01045,2024-10-13,October,10,Sunday,Q4,44,Male,Ibadan,Teacher,Retail,Current Account,Agent Banking,195000,1867000,92,3,27,622,6.2,500,Yes,No
CUST-01046,2024-03-23,March,3,Saturday,Q1,44,Male,Enugu,Student,Student,Insurance Plan,Mobile App,39000,250000,23,1,41,355,7.1,0,No,No
CUST-01047,2024-04-08,April,4,Monday,Q2,36,Male,Abuja,Doctor,Premium,Mobile Loan,Mobile App,272000,707000,17,2,28,502,4.9,300,Yes,No
CUST-01048,2024-06-06,June,6,Thursday,Q2,32,Male,Kano,Student,Student,Mobile Loan,Branch,11000,142000,54,5,19,610,8.1,0,No,No
CUST-01049,2024-03-22,March,3,Friday,Q1,55,Female,Abuja,Engineer,Corporate,Current Account,Web Portal,2146000,10770000,1,1,18,664,8.8,3200,Yes,No
CUST-01050,2024-12-24,December,12,Tuesday,Q4,41,Male,Kano,Civil Servant,Retail,Credit Card,Mobile App,236000,2435000,35,1,9,426,9.5,200,No,No
CUST-01051,2024-05-22,May,5,Wednesday,Q2,24,Male,Enugu,Civil Servant,Student,Mobile Loan,Mobile App,4000,12000,63,1,9,404,4.2,0,Yes,No
CUST-01052,2024-07-22,July,7,Monday,Q3,39,Female,Enugu,Civil Servant,Retail,Savings Account,Mobile App,109000,973000,112,2,42,560,3.7,100,No,No
CUST-01053,2024-07-07,July,7,Sunday,Q3,18,Male,Lagos,Civil Servant,Student,Savings Account,USSD,20000,34000,25,1,33,428,9.3,0,No,No
CUST-01054,2024-10-15,October,10,Tuesday,Q4,39,Female,Kano,Student,Student,Insurance Plan,Branch,54000,254000,104,3,6,328,5.2,200,No,No
CUST-01055,2024-09-12,September,9,Thursday,Q3,33,Male,Enugu,Doctor,Premium,Insurance Plan,Branch,1449000,2340000,114,2,13,628,6.7,4300,Yes,No
CUST-01056,2024-12-22,December,12,Sunday,Q4,45,Female,Ibadan,Entrepreneur,SME,Insurance Plan,Branch,764000,6588000,71,2,20,781,6.9,2300,No,No
CUST-01057,2024-10-28,October,10,Monday,Q4,38,Female,Ibadan,Accountant,Premium,Mobile Loan,Mobile App,1523000,1313000,106,2,9,567,6.6,1500,No,No
CUST-01058,2024-09-30,September,9,Monday,Q3,30,Female,Ibadan,Farmer,Retail,Mortgage,USSD,301000,2970000,98,1,29,715,5.3,600,Yes,No
CUST-01059,2024-01-04,January,1,Thursday,Q1,23,Female,Lagos,Entrepreneur,Student,Mortgage,Web Portal,7000,21000,100,1,15,564,9.5,0,No,No
CUST-01060,2024-08-15,August,8,Thursday,Q3,19,Female,Kano,Teacher,Student,Investment Fund,Web Portal,4000,17000,110,3,4,442,9.3,0,No,No
CUST-01061,2024-09-05,September,9,Thursday,Q3,20,Male,Kano,Farmer,Student,Mortgage,Mobile App,12000,174000,68,4,40,544,5.1,0,No,No
CUST-01062,2024-08-13,August,8,Tuesday,Q3,27,Female,Ibadan,Lawyer,Retail,Mortgage,Mobile App,125000,1259000,76,1,34,709,5.7,100,No,No
CUST-01063,2024-01-17,January,1,Wednesday,Q1,41,Male,Port Harcourt,Farmer,Retail,Mobile Loan,Branch,72000,343000,28,5,21,650,7.5,200,No,No
CUST-01064,2024-10-18,October,10,Friday,Q4,22,Female,Enugu,Trader,Student,Fixed Deposit,Web Portal,10000,37000,78,4,44,490,5.4,0,No,No
CUST-01065,2024-02-22,February,2,Thursday,Q1,53,Male,Enugu,Doctor,Corporate,Insurance Plan,USSD,1942000,9091000,43,1,11,766,6.2,3900,No,No
CUST-01066,2024-05-02,May,5,Thursday,Q2,27,Male,Kano,Civil Servant,Retail,Mortgage,Mobile App,129000,1061000,44,1,21,756,6.6,100,No,No
CUST-01067,2024-07-25,July,7,Thursday,Q3,25,Female,Enugu,Farmer,Retail,Investment Fund,Branch,104000,1336000,72,1,17,511,7.9,300,No,No
CUST-01068,2024-05-06,May,5,Monday,Q2,54,Male,Lagos,Accountant,Corporate,Insurance Plan,Web Portal,2885000,36346000,2,2,39,833,6.8,4300,No,No
CUST-01069,2024-12-27,December,12,Friday,Q4,19,Female,Port Harcourt,Doctor,Student,Insurance Plan,USSD,11000,137000,30,2,26,519,9.3,0,No,No
CUST-01070,2024-09-07,September,9,Saturday,Q3,37,Male,Lagos,Trader,SME,Credit Card,Branch,178000,876000,71,3,34,576,6.4,500,No,No
CUST-01071,2024-11-16,November,11,Saturday,Q4,33,Female,Abuja,Student,Student,Fixed Deposit,Web Portal,6000,21000,76,2,39,523,7.3,0,No,No
CUST-01072,2024-09-14,September,9,Saturday,Q3,28,Male,Port Harcourt,Farmer,Retail,Credit Card,Agent Banking,451000,5057000,76,2,35,584,5.1,1100,No,No
CUST-01073,2024-08-19,August,8,Monday,Q3,18,Female,Ibadan,Lawyer,Student,Mortgage,Mobile App,15000,69000,31,1,19,576,8.6,0,No,No
CUST-01074,2024-09-12,September,9,Thursday,Q3,26,Male,Port Harcourt,Accountant,Retail,Investment Fund,Mobile App,10000,27000,59,1,32,657,8.5,0,No,No
CUST-01075,2024-05-11,May,5,Saturday,Q2,24,Male,Port Harcourt,Entrepreneur,Student,Insurance Plan,Mobile App,8000,94000,27,5,28,483,6.3,0,Yes,No
CUST-01076,2024-04-24,April,4,Wednesday,Q2,35,Male,Enugu,Lawyer,Corporate,Fixed Deposit,Branch,2611000,32355000,119,2,15,720,9.2,7800,No,No
CUST-01077,2024-01-05,January,1,Friday,Q1,32,Male,Lagos,Farmer,Retail,Credit Card,Web Portal,55000,663000,63,2,34,756,6.5,100,No,No
CUST-01078,2024-04-21,April,4,Sunday,Q2,34,Female,Kano,Civil Servant,Retail,Mortgage,Branch,33000,136000,112,3,20,780,8.8,100,No,No
CUST-01079,2024-10-02,October,10,Wednesday,Q4,44,Male,Kano,Student,Student,Credit Card,Web Portal,18000,127000,96,4,41,326,9.5,0,No,No
CUST-01080,2024-04-27,April,4,Saturday,Q2,50,Female,Abuja,Farmer,Retail,Mortgage,Web Portal,203000,197000,58,4,25,524,7.8,300,No,No
CUST-01081,2024-07-28,July,7,Sunday,Q3,20,Female,Ibadan,Civil Servant,Student,Credit Card,Mobile App,24000,360000,43,4,15,324,8.3,0,No,No
CUST-01082,2024-01-06,January,1,Saturday,Q1,47,Male,Kano,Farmer,Retail,Current Account,Web Portal,63000,868000,25,2,41,524,9.0,100,Yes,No
CUST-01083,2024-05-10,May,5,Friday,Q2,41,Female,Port Harcourt,Doctor,Premium,Credit Card,Mobile App,411000,1094000,24,3,6,508,9.2,400,No,No
CUST-01084,2024-12-02,December,12,Monday,Q4,24,Female,Lagos,Trader,Student,Mortgage,USSD,34000,379000,82,2,2,514,9.2,100,No,No
CUST-01085,2024-05-15,May,5,Wednesday,Q2,32,Male,Ibadan,Teacher,Retail,Mobile Loan,Mobile App,51000,369000,120,2,5,717,7.2,100,No,No
CUST-01086,2024-05-21,May,5,Tuesday,Q2,35,Male,Abuja,Civil Servant,Retail,Mobile Loan,Branch,23000,80000,87,2,16,435,7.5,100,No,No
CUST-01087,2024-04-29,April,4,Monday,Q2,25,Female,Port Harcourt,Farmer,Retail,Savings Account,Web Portal,93000,451000,36,2,28,439,6.4,100,No,No
CUST-01088,2024-01-02,January,1,Tuesday,Q1,25,Male,Ibadan,Entrepreneur,SME,Fixed Deposit,Mobile App,541000,7460000,92,3,43,755,10.0,500,No,No
CUST-01089,2024-11-01,November,11,Friday,Q4,20,Female,Enugu,Farmer,Student,Fixed Deposit,Mobile App,46000,55000,63,1,38,466,6.2,0,No,No
CUST-01090,2024-10-13,October,10,Sunday,Q4,31,Male,Port Harcourt,Lawyer,Corporate,Credit Card,Branch,268000,1258000,11,3,17,718,6.5,800,No,No
CUST-01091,2024-07-13,July,7,Saturday,Q3,47,Male,Lagos,Entrepreneur,SME,Fixed Deposit,Mobile App,85000,306000,82,3,36,551,9.1,100,No,No
CUST-01092,2024-03-11,March,3,Monday,Q1,34,Male,Lagos,Trader,SME,Mortgage,Branch,1050000,5756000,71,1,33,454,4.3,3200,No,No
CUST-01093,2024-08-10,August,8,Saturday,Q3,65,Male,Port Harcourt,Student,Student,Savings Account,Branch,34000,429000,96,5,11,357,6.1,100,No,No
CUST-01094,2024-09-05,September,9,Thursday,Q3,28,Female,Abuja,Entrepreneur,SME,Credit Card,Mobile App,157000,1890000,16,4,26,642,8.0,200,No,No
CUST-01095,2024-08-26,August,8,Monday,Q3,72,Female,Enugu,Farmer,Retail,Credit Card,Mobile App,51000,102000,5,5,30,730,9.0,100,Yes,No
CUST-01096,2024-07-01,July,7,Monday,Q3,29,Female,Abuja,Accountant,Retail,Investment Fund,Mobile App,93000,392000,63,3,31,526,8.0,100,No,No
CUST-01097,2024-05-13,May,5,Monday,Q2,20,Female,Abuja,Civil Servant,Student,Fixed Deposit,Mobile App,9000,132000,113,2,4,505,7.2,0,No,No
CUST-01098,2024-02-12,February,2,Monday,Q1,27,Male,Port Harcourt,Civil Servant,Retail,Credit Card,Mobile App,35000,160000,7,4,24,483,4.8,0,No,No
CUST-01099,2024-04-25,April,4,Thursday,Q2,49,Female,Lagos,Civil Servant,Retail,Mortgage,Mobile App,1356000,16678000,43,4,32,726,7.7,1400,No,No
CUST-01100,2024-07-18,July,7,Thursday,Q3,32,Female,Lagos,Trader,SME,Insurance Plan,Mobile App,220000,1726000,92,2,18,626,9.4,200,No,No
CUST-01101,2024-08-08,August,8,Thursday,Q3,37,Female,Ibadan,Civil Servant,Retail,Insurance Plan,USSD,130000,1431000,30,1,14,764,9.3,300,No,No
CUST-01102,2024-06-22,June,6,Saturday,Q2,32,Male,Port Harcourt,Civil Servant,Retail,Current Account,Mobile App,62000,868000,1,2,10,614,6.5,100,No,No
CUST-01103,2024-11-04,November,11,Monday,Q4,24,Female,Lagos,Engineer,Student,Mortgage,Mobile App,3000,21000,95,5,11,306,7.7,0,No,No
CUST-01104,2024-08-21,August,8,Wednesday,Q3,37,Male,Ibadan,Farmer,Retail,Savings Account,Web Portal,119000,1200000,103,5,10,530,9.8,200,No,No
CUST-01105,2024-09-27,September,9,Friday,Q3,49,Female,Abuja,Engineer,Premium,Credit Card,Branch,7721000,21268000,18,3,38,470,5.9,23200,Yes,No
CUST-01106,2024-01-21,January,1,Sunday,Q1,37,Male,Ibadan,Teacher,Retail,Current Account,USSD,25000,61000,77,1,9,747,5.1,0,Yes,No
CUST-01107,2024-08-27,August,8,Tuesday,Q3,45,Male,Enugu,Doctor,Corporate,Current Account,Agent Banking,2710000,33852000,28,4,23,739,9.3,6800,No,No
CUST-01108,2024-06-05,June,6,Wednesday,Q2,45,Female,Enugu,Accountant,Corporate,Savings Account,Branch,1110000,4113000,58,2,31,843,5.9,3300,No,No
CUST-01109,2024-09-10,September,9,Tuesday,Q3,30,Male,Port Harcourt,Farmer,Retail,Mobile Loan,Agent Banking,255000,3799000,15,1,3,685,8.9,600,No,No
CUST-01110,2024-07-21,July,7,Sunday,Q3,34,Male,Port Harcourt,Civil Servant,Retail,Savings Account,Branch,153000,2045000,73,2,6,702,6.3,500,No,No
CUST-01111,2024-06-12,June,6,Wednesday,Q2,33,Male,Enugu,Farmer,Retail,Mortgage,Mobile App,21000,167000,107,3,9,521,7.1,0,Yes,No
CUST-01112,2024-01-29,January,1,Monday,Q1,34,Male,Port Harcourt,Accountant,Corporate,Investment Fund,Web Portal,6930000,41257000,18,1,21,680,8.6,10400,No,No
CUST-01113,2024-11-12,November,11,Tuesday,Q4,38,Male,Port Harcourt,Entrepreneur,SME,Credit Card,Branch,615000,3927000,90,3,2,485,8.9,1800,No,No
CUST-01114,2024-11-30,November,11,Saturday,Q4,46,Female,Lagos,Doctor,Corporate,Fixed Deposit,Branch,13314000,188956000,113,3,20,792,7.2,39900,No,No
CUST-01115,2024-09-18,September,9,Wednesday,Q3,46,Male,Abuja,Teacher,Retail,Savings Account,USSD,37000,105000,81,2,4,662,9.0,100,No,No
CUST-01116,2024-06-14,June,6,Friday,Q2,42,Female,Ibadan,Farmer,Retail,Credit Card,Web Portal,193000,1982000,103,5,41,575,3.5,300,Yes,No
CUST-01117,2024-06-24,June,6,Monday,Q2,18,Female,Abuja,Accountant,Student,Mobile Loan,Web Portal,25000,311000,115,1,18,361,3.5,0,Yes,No
CUST-01118,2024-07-28,July,7,Sunday,Q3,37,Male,Kano,Teacher,Retail,Savings Account,Mobile App,182000,464000,5,5,37,796,9.8,200,No,No
CUST-01119,2024-07-11,July,7,Thursday,Q3,61,Female,Lagos,Engineer,Premium,Fixed Deposit,Web Portal,2240000,6809000,103,5,13,678,5.9,3400,No,No
CUST-01120,2024-03-09,March,3,Saturday,Q1,38,Male,Kano,Engineer,Corporate,Credit Card,Agent Banking,11560000,157023000,17,1,9,642,3.9,28900,No,No
CUST-01121,2024-11-17,November,11,Sunday,Q4,47,Female,Ibadan,Accountant,Corporate,Mobile Loan,Branch,3741000,6624000,99,5,26,817,7.0,11200,Yes,No
CUST-01122,2024-11-15,November,11,Friday,Q4,54,Male,Lagos,Student,Student,Savings Account,Mobile App,9000,111000,2,1,23,391,9.0,0,Yes,No
CUST-01123,2024-12-26,December,12,Thursday,Q4,30,Female,Port Harcourt,Engineer,Retail,Fixed Deposit,USSD,36000,107000,66,4,43,771,5.4,100,No,No
CUST-01124,2024-03-10,March,3,Sunday,Q1,30,Male,Port Harcourt,Lawyer,Retail,Mortgage,Branch,48000,447000,68,1,30,664,3.3,100,Yes,No
CUST-01125,2024-08-29,August,8,Thursday,Q3,18,Female,Kano,Doctor,Student,Insurance Plan,USSD,8000,12000,107,2,14,552,9.9,0,No,No
CUST-01126,2024-08-01,August,8,Thursday,Q3,40,Female,Ibadan,Engineer,Corporate,Investment Fund,Mobile App,6421000,37391000,17,1,32,645,7.4,6400,Yes,No
CUST-01127,2024-08-23,August,8,Friday,Q3,34,Male,Enugu,Teacher,Retail,Insurance Plan,Web Portal,101000,440000,64,2,35,784,8.1,200,Yes,No
CUST-01128,2024-07-13,July,7,Saturday,Q3,25,Male,Kano,Lawyer,Retail,Current Account,Mobile App,51000,710000,71,2,12,434,8.7,100,No,No
CUST-01129,2024-01-29,January,1,Monday,Q1,36,Male,Enugu,Farmer,Retail,Savings Account,Mobile App,990000,6990000,94,4,1,572,8.9,1000,No,No
CUST-01130,2024-01-10,January,1,Wednesday,Q1,26,Female,Port Harcourt,Student,Student,Mortgage,Mobile App,14000,21000,21,2,29,300,9.6,0,No,No
CUST-01131,2024-04-10,April,4,Wednesday,Q2,18,Female,Abuja,Trader,Student,Insurance Plan,USSD,15000,178000,103,1,13,394,7.9,0,No,No
CUST-01132,2024-10-15,October,10,Tuesday,Q4,65,Male,Abuja,Farmer,Retail,Current Account,Mobile App,65000,746000,8,2,10,732,4.8,100,Yes,No
CUST-01133,2024-04-11,April,4,Thursday,Q2,47,Female,Ibadan,Student,Student,Credit Card,Branch,9000,25000,97,1,31,529,7.2,0,No,No
CUST-01134,2024-04-15,April,4,Monday,Q2,51,Female,Kano,Entrepreneur,SME,Credit Card,Branch,617000,1339000,76,3,28,526,7.6,1900,No,No
CUST-01135,2024-04-25,April,4,Thursday,Q2,46,Female,Port Harcourt,Student,Student,Insurance Plan,Web Portal,4000,28000,90,2,10,354,10.0,0,Yes,No
CUST-01136,2024-05-05,May,5,Sunday,Q2,33,Female,Port Harcourt,Farmer,Retail,Savings Account,USSD,70000,367000,1,5,16,562,10.0,100,No,No
CUST-01137,2024-10-24,October,10,Thursday,Q4,38,Female,Enugu,Doctor,Corporate,Insurance Plan,USSD,7275000,12782000,112,2,18,698,8.6,14600,No,No
CUST-01138,2024-04-15,April,4,Monday,Q2,38,Female,Abuja,Teacher,Retail,Mobile Loan,Web Portal,38000,117000,108,1,30,627,6.1,100,Yes,No
CUST-01139,2024-06-03,June,6,Monday,Q2,37,Female,Abuja,Lawyer,Corporate,Investment Fund,Branch,275000,2727000,11,2,5,632,9.6,800,No,No
CUST-01140,2024-10-07,October,10,Monday,Q4,29,Male,Enugu,Lawyer,Retail,Fixed Deposit,Web Portal,217000,534000,94,2,17,527,6.3,300,No,No
CUST-01141,2024-11-13,November,11,Wednesday,Q4,64,Female,Ibadan,Accountant,Premium,Investment Fund,Web Portal,507000,7497000,107,2,21,623,9.8,800,No,No
CUST-01142,2024-10-08,October,10,Tuesday,Q4,46,Male,Lagos,Student,Student,Mortgage,USSD,14000,48000,62,2,5,420,7.0,0,No,No
CUST-01143,2024-04-05,April,4,Friday,Q2,41,Male,Abuja,Student,Student,Insurance Plan,Web Portal,21000,114000,93,5,44,326,9.4,0,Yes,No
CUST-01144,2024-01-19,January,1,Friday,Q1,62,Male,Lagos,Civil Servant,Retail,Current Account,Branch,74000,877000,116,3,16,471,5.4,200,No,No
CUST-01145,2024-05-11,May,5,Saturday,Q2,53,Male,Abuja,Lawyer,Corporate,Credit Card,Branch,288000,1025000,79,2,28,826,5.4,900,Yes,No
CUST-01146,2024-11-30,November,11,Saturday,Q4,33,Male,Lagos,Entrepreneur,SME,Investment Fund,USSD,647000,6828000,59,2,45,733,6.2,1300,No,No
CUST-01147,2024-09-25,September,9,Wednesday,Q3,41,Male,Ibadan,Student,Student,Mortgage,Web Portal,54000,608000,111,1,4,453,7.7,100,No,No
CUST-01148,2024-04-19,April,4,Friday,Q2,22,Female,Ibadan,Lawyer,Student,Mortgage,Mobile App,13000,97000,111,1,3,446,7.0,0,No,No
CUST-01149,2024-08-13,August,8,Tuesday,Q3,38,Male,Lagos,Entrepreneur,SME,Credit Card,Branch,424000,3867000,28,5,45,641,8.7,1300,Yes,No
CUST-01150,2024-09-03,September,9,Tuesday,Q3,52,Female,Enugu,Lawyer,Premium,Mobile Loan,Web Portal,1486000,2317000,102,1,6,473,7.3,2200,No,No
CUST-01151,2024-08-20,August,8,Tuesday,Q3,34,Female,Port Harcourt,Entrepreneur,SME,Credit Card,Branch,261000,1389000,38,3,6,655,6.4,800,No,No
CUST-01152,2024-04-27,April,4,Saturday,Q2,18,Female,Abuja,Trader,Student,Fixed Deposit,Mobile App,77000,1031000,28,3,39,592,7.9,100,No,No
CUST-01153,2024-10-26,October,10,Saturday,Q4,51,Male,Lagos,Farmer,Retail,Savings Account,Mobile App,158000,386000,85,2,5,513,8.9,200,Yes,No
CUST-01154,2024-11-20,November,11,Wednesday,Q4,18,Female,Kano,Teacher,Student,Current Account,Mobile App,24000,285000,47,2,6,511,6.2,0,No,No
CUST-01155,2024-04-13,April,4,Saturday,Q2,51,Male,Ibadan,Lawyer,Premium,Credit Card,Mobile App,547000,3974000,115,4,44,527,8.1,500,No,No
CUST-01156,2024-10-06,October,10,Sunday,Q4,23,Female,Lagos,Student,Student,Mortgage,Mobile App,19000,49000,13,3,15,562,5.9,0,No,No
CUST-01157,2024-08-15,August,8,Thursday,Q3,27,Female,Kano,Teacher,Retail,Current Account,USSD,55000,554000,24,2,21,588,6.4,100,No,No
CUST-01158,2024-11-09,November,11,Saturday,Q4,18,Male,Lagos,Civil Servant,Student,Mobile Loan,Mobile App,8000,106000,24,2,35,549,9.6,0,No,No
CUST-01159,2024-11-01,November,11,Friday,Q4,18,Female,Enugu,Student,Student,Credit Card,Agent Banking,27000,333000,84,1,32,489,7.3,100,No,No
CUST-01160,2024-06-10,June,6,Monday,Q2,22,Female,Enugu,Lawyer,Student,Mobile Loan,Branch,6000,15000,71,2,23,483,5.5,0,No,No
CUST-01161,2024-11-09,November,11,Saturday,Q4,33,Female,Ibadan,Student,Student,Mortgage,Branch,6000,41000,6,1,35,565,5.4,0,No,No
CUST-01162,2024-02-15,February,2,Thursday,Q1,43,Female,Abuja,Farmer,Retail,Insurance Plan,Web Portal,105000,1480000,78,5,43,688,6.4,200,No,No
CUST-01163,2024-10-05,October,10,Saturday,Q4,20,Female,Enugu,Doctor,Student,Current Account,Mobile App,15000,36000,87,2,29,585,6.7,0,No,No
CUST-01164,2024-09-07,September,9,Saturday,Q3,21,Male,Enugu,Farmer,Student,Savings Account,Mobile App,20000,156000,105,1,5,321,7.3,0,No,No
