LicenseID,CompanyName,MineralType,MineSite,LicenseType,LicenseIssueDate,LicenseExpiryDate,QuantityMined_tonnes,RevenueNGN,RoyaltyPaidNGN,MineStatus,ContactPhone,State,EnvironmentalClearance,NMRCRegistered
MML600215,Segun Adeyemi Mining Ltd,limestone,Ebonyi Lead-Zinc Site,Mining Lease,2015/04/24,2024/04/17,42647.2,80101176710.8,"₦4,152,977,706.72",Inactive,27956878339,Zamfara,true,true
MML600089,Chioma Balogun Mining Ltd,gold,Benue Coal Field,Quarry Lease,2010/05/09,03 September 2013,49898.28,"₦169,531,022,546.13","₦9,918,998,372.93",Suspended ,234-861-317-127,Plateau,true,yes
MML600421,Zainab Eze Mining Ltd,COAL,Sokoto Gypsum Deposit,exploration,09/07/2021,2024/02/05,70638.3,"96,243,979,926.04 ","NGN 3,309,310,278",Inactive,(112) 880-1336,Ebonyi,yes,0
MML600428,Grace  Bello Mining Ltd   ,COAL,Plateau Mining Zone,Exploration,19 July 2015,12/03/2016,25528.74 short tons,"NGN 13,900,463,267","852,962,235.09 ",INACTIVE,96881435368,Plateau,yes,yes
MML600065,Ngozi Yusuf Mining Ltd,Coal,Kogi Iron Ore Field,Quarry Lease,15 May 2016,03 April 2018,21301.83,"₦61,264,149,494.61","₦3,187,797,717.88",active,(877) 694-5314,Benue,FALSE,true
MML600011,Bisi Balogun Mining Ltd   ,Columbite ,Nasarawa Barytes Mine,Quarry Lease,17/11/2018,2021-05-06,57093.83,79074212621.65 naira,3372284892.41,Active,(287) 101-2269,Nasarawa,true,No
MML600216,Obinna Ogundimu Mining Ltd,limestone,Ebonyi Lead-Zinc Site,Quarry lease,03.01.2017,11/18/2024,4945.28 short tons,7082866994.2,"N433,054,175",Active,(187) 851-9108,Kogi,FALSE,Yes
MML600191,Yusuf Chukwu Mining Ltd,Tin ,Kogi Iron Ore Field,Small Scale,N/A,2018-11-13,29284.95,"₦86,875,967,374.00","NGN 5,280,951,294",Suspended,234-983-584-168,Plateau,no,false
MML600133,Tobi Chukwu Mining Ltd,Columbite,Kogi Iron Ore Field,exploration,12/27/2014,2023/09/07,45444.22,"₦160,999,414,339.12","NGN 10,667,991,889",Inactive,+234445107622,Nasarawa,1,no
MML600054,Ifeoma Okonkwo Mining Ltd,Iron Ore,Benue Coal Field,MINING LEASE,06/17/2013,11 April 2016,15372.32,48163985813.56 naira,"NGN 2,648,519,239",Abandoned,+234366909670,Ebonyi,true,FALSE
MML600425,Sadiq Lawal Mining Ltd,Zinc,Plateau Mining Zone,exploration,12/06/2018,31.10.2027,10885.35,"NGN 43,276,482,633",2752593456.20 naira,Abandoned,234-158-144-914,Plateau,yes,0
MML600012,Kemi Yusuf Mining Ltd,gold,Cross River Barite Site,exploration,2013-01-05,23.12.2016,10815.73 short tons,"5,164,091,551.91 ",,INACTIVE,66978480184,Nasarawa,Y,false
MML600413,tunde nnamdi mining ltd,Coal,Benue Coal Field,exploration,2011-01-02,2018-09-26,19949.62,"N10,688,557,125",537394118.67,Suspended,234-472-122-816,Kogi,FALSE,Yes
MML600008,Chidi Adeyemi Mining Ltd,Limestone,Plateau Mining Zone,Quarry lease,05.03.2012,07/25/2020,36639.63,"₦70,894,931,403.95",3451235214.30 naira,Inactive,(764) 835-0305,Zamfara,Yes,true
MML600322,Bisi Chukwu Mining Ltd,limestone,Ebonyi Lead-Zinc Site,Exploration,23-Aug-2013,10/26/2016,64850.94,"NGN 279,447,959,932","₦17,004,636,154.17",Suspended,0013 721 5107,Kogi,yes,N
MML600297,Obinna Afolabi Mining Ltd,gold,Nasarawa Barytes Mine,Small-Scale Mining,09/09/2013,19.05.2018,29121.75 short tons,74915279967.9,2537308905.64,Abandoned,36403761379,Sokoto,FALSE,No
MML600340,Chidi Adekunle Mining Ltd,COAL,Sokoto Gypsum Deposit,Quarry Lease,2021-07-09,08 July 2030,13217.18,8093397441.79 naira,  ,Inactive,0327 104 0541,Ebonyi,No,true
MML600122,ifeoma bello mining ltd,Zinc,Kogi Iron Ore Field,Small Scale,30.10.2019,,35670.81,"₦28,187,290,615.46","NGN 1,312,421,858",Inactive,06576615654,Ebonyi,FALSE,FALSE
MML600014,Wale Afolabi Mining Ltd,Zinc,Nasarawa Barytes Mine,Quarry Lease,21/12/2013,05/08/2019,2107.33,"7,012,587,116.77 ","NGN 303,556,795",Reclaimed,14893252880,Cross River,1,no
MML600372,Halima Eze Mining Ltd,Tin ,Benue Coal Field,Quarry lease,28.04.2010,22 June 2015,69171.34,-,"N556,071,498",Suspended ,71709991738,Benue,true,yes
MML600079,Amaka Okafor Mining Ltd,Coal,Plateau Mining Zone,Quarry lease,15/05/2020,29/11/2028,unknown,"₦224,186,159,952.28",10276233631.47,Suspended ,0740 344 7134,Sokoto,1,1
MML600061,Grace Bello Mining Ltd,Tin ,Plateau Mining Zone,Quarry Lease,28.02.2016,2024-04-30,83302.33,"N355,548,879,429",nil,Inactive,(529) 912-4190,Ebonyi,1,no
MML600213,Adaeze Okafor Mining Ltd,GOLD,Zamfara Gold Belt,exploration,01/25/2019,30 June 2021,72463.01,"NGN 23,748,083,825",1568395360.31 naira,Suspended,+234904530174,Benue,no,1
MML600179,BLESSING OKAFOR MINING LTD,limestone,Ebonyi Lead-Zinc Site,Small Scale,01/07/2010,31.07.2013,82648.29,"NGN 107,889,878,811",3776314941.93 naira,Suspended,234-922-680-182,Benue,Yes,No
MML600393,tobi  okonkwo mining ltd   ,Gypsum,Zamfara Gold Belt,Exploration,17/06/2020,2029/02/04,n/a,"NGN 55,570,098,861","3,053,677,255.37 ",Suspended,08993588916,Nasarawa,Y,false
MML600124,Obinna Lawal Mining Ltd,Lead,Zamfara Gold Belt,small-scale mining,2016-07-18,2018-06-18,unknown,22703718439.17 naira,"NGN 1,393,896,222",Active,09885165604,Zamfara,No,true
MML600090,Yusuf Okeke Mining Ltd,Coal,Nasarawa Barytes Mine,Small-Scale Mining,08/02/2020,09-Aug-2026,19392.15,48694035304.65,"₦2,192,063,275.02",Active,0846 773 7826,Ebonyi,yes,No
MML600373,Musa Afolabi Mining Ltd,Columbite ,Plateau Mining Zone,exploration,03/23/2012,16-Mar-2014,68504.98,"35,072,054,539.41 ","NGN 1,963,508,393",Abandoned,16846022356,Benue,Yes,no
MML600142,Tobi  Bello Mining Ltd,Columbite,Sokoto Gypsum Deposit,Small Scale,20/02/2012,2017-12-27,56245.8,"₦65,029,573,119.53","N2,850,244,857",Suspended ,04119986798,Sokoto,0,FALSE
MML600259,Amara Bello Mining Ltd,Zinc,Benue Coal Field,Small-Scale Mining,05/05/2015,2023-01-24,10393.97,"N37,831,537,985","NGN 1,633,241,838",Inactive,0265 479 3564,Sokoto,true,N
MML600057,Adaeze Nwosu Mining Ltd,Tin ,Zamfara Gold Belt,Mining Lease,02-Nov-2021,01/08/2027,9451.33,12589663239.68,"₦529,345,582.15",INACTIVE,0699 016 2720,Kogi,true,true
MML600153,Musa Balogun Mining Ltd,Iron Ore,Zamfara Gold Belt,MINING LEASE,19/05/2010,2015/09/30,57230.56,139071001750.98,"NGN 7,740,262,208",Active,(886) 239-2407,Cross River,Y,false
MML600370,Sadiq Afolabi Mining Ltd,Lead,Kogi Iron Ore Field,Exploration,22-Jul-2011,16.08.2015,34431.12,Unknown,"₦2,774,231,246.38",Suspended ,28241724825,Benue,Yes,TRUE
MML600327,Emeka Ajayi Mining Ltd,Coal,Ebonyi Lead-Zinc Site,Quarry lease,29-Jan-2018,04.08.2019,82415.81,"NGN 273,980,480,661",15648991549.41,Active,08564205930,Nasarawa,true,TRUE
MML600028,Musa Ajayi Mining Ltd,Zinc,Benue Coal Field,Small Scale,2016-10-25,08-Oct-2018,84483.04,"N48,755,960,904",NULL,active,+234399091699,Cross River,Y,TRUE
MML600193,Emeka Bello Mining Ltd,Limestone,Ebonyi Lead-Zinc Site,Small Scale,29 January 2018,04/14/2020,1622.15,NULL,"NGN 355,034,432",Abandoned,+234239868000,Plateau,no,true
MML600230,Amara Olawale Mining Ltd,gold,Cross River Barite Site,Mining Lease,20/07/2021,07-Nov-2023,6023.52,"NGN 6,608,308,910",315829822.08 naira,Suspended ,(866) 882-6343,Sokoto,Y,1
MML600131,Ibrahim Adekunle Mining Ltd,Iron ore,Ebonyi Lead-Zinc Site,Small Scale,19-Nov-2013,16 August 2021,68073.61,"₦71,189,791,218.03","N3,868,008,697",INACTIVE,(643) 815-6149,Nasarawa,yes,true
MML600459,Amara Chukwu Mining Ltd,Gypsum,Kogi Iron Ore Field,exploration,21-Feb-2013,10/20/2015,44351.48,"₦7,337,294,496.37","NGN 478,441,669",Reclaimed,N/A,Nasarawa,Y,FALSE
MML600168,Emeka Olawale Mining Ltd,Tin ,Sokoto Gypsum Deposit,Exploration,2015-08-12,2024/05/24,37635.61,65034606922.35,3209145413.72 naira,INACTIVE,08451154479,Nasarawa,N,yes
MML600396,Adaeze Bello Mining Ltd,Iron Ore,Zamfara Gold Belt,Exploration,2018/05/15,17 October 2020,58175.31 short tons,213985380246.91 naira,"₦13,933,060,888.78",Active,(386) 631-7797,Kogi,TRUE,false
MML600235,Obinna Okeke Mining Ltd,Barite,Cross River Barite Site,MINING LEASE,2014-08-05,21-Feb-2017,-,92740872198.93 naira,"3,203,483,693.14 ",Abandoned,17535560932,Nasarawa,0,FALSE
MML600030,Ifeoma Afolabi Mining Ltd,Lead,Plateau Mining Zone,Mining Lease,2016/02/09,19 September 2022,nil,"N91,706,759,323","₦4,944,962,948.96",Suspended,10799118384,Sokoto,yes,Y
MML600365,Tobi Ogundimu Mining Ltd,Tin,Kogi Iron Ore Field,small-scale mining,2020/09/12,09 April 2028,73849.12,15985888388.16,"NGN 582,668,369",Suspended ,0000000000,Cross River,N,FALSE
MML600109,  Wale Afolabi Mining Ltd,Columbite,Zamfara Gold Belt,Exploration,2019/10/24,00/00/0000,81041.4,90112880736.94,"₦3,584,617,417.69",Suspended,234-985-931-746,Zamfara,Yes,no
MML600161,Wale Okonkwo Mining Ltd,Iron ore,Plateau Mining Zone,exploration,07/01/2021,08-Dec-2022,75717.86,"53,271,277,337.72 ",1952587002.42,Suspended,(621) 851-8888,Nasarawa,Y,false
MML600045,Femi Adeyemi Mining Ltd,gold,Zamfara Gold Belt,Quarry lease,2012/02/03,06-Dec-2017,8208.43,27396802308.54,"N1,711,499,374",Reclaimed,0680 443 6995,Cross River,No,no
MML600070,Zainab Okafor Mining Ltd,Lead,Cross River Barite Site,Exploration,06/16/2012,2018/02/16,49614.89,"₦178,393,260,403.01","₦10,527,515,857.15",Inactive,0685 574 4431,Ebonyi,1,Y
MML600405,  OBINNA MOHAMMED MINING LTD,COAL,Sokoto Gypsum Deposit,exploration,05/03/2019,,69268.86 short tons,"₦263,026,244,501.82","NGN 17,228,415,059",Active,08669346547,Benue,1,false
MML600426,Emeka Okeke Mining Ltd,Barite,Zamfara Gold Belt,MINING LEASE,29 November 2014,,54082.81,13685491796.83,655609695.87,Inactive,(660) 728-3268,Cross River,no,TRUE
MML600078,Amaka Suleiman Mining Ltd,Barite,Kogi Iron Ore Field,Quarry Lease,05 November 2021,2030/09/26,30752.03,"₦127,059,359,994.20","4,382,067,889.36 ",Abandoned,0123 281 2067,Sokoto,FALSE,Yes
MML600319,Emeka Ajayi Mining Ltd,Columbite ,Ebonyi Lead-Zinc Site,Quarry Lease,19/03/2011,01-Sep-2019,92607.26 short tons,"N303,826,046,959","NGN 17,576,677,691",Inactive,(213) 568-0442,Cross River,N,TRUE
MML600357,Bola Adeyemi Mining Ltd,Columbite,Benue Coal Field,small-scale mining,09/17/2011,08/12/2019,28366.94,"N46,924,482,119","3,143,381,387.34 ",active,47132475469,Ebonyi,yes,false
MML600344,Ngozi Afolabi Mining Ltd,Iron ore,Ebonyi Lead-Zinc Site,exploration,04/10/2012,2018-02-07,41824.17,"17,863,513,644.81 ","NGN 903,406,902",Suspended ,N/A,Zamfara,N,yes
MML600150,Halima Okonkwo Mining Ltd,Iron ore,Zamfara Gold Belt,MINING LEASE,02/16/2017,2024-01-08,18697.16,16233201213.75,531264930.05,Active,234-059-296-222,Sokoto,N,true
MML600040,Wale Yusuf Mining Ltd,Limestone,Kogi Iron Ore Field,Exploration,2017-05-11,13/03/2025,20741.73 short tons,"₦6,234,237,506.29","N392,471,522",Suspended ,45868501429,Kogi,1,true
MML600446,Segun Olawale Mining Ltd,Gold,Benue Coal Field,Mining Lease,08/09/2010,02/02/2014,75275.05,"NGN 63,442,726,291",2500043312.95 naira,active,99228092024,Sokoto,Yes,yes
MML600134,Adaeze Okeke Mining Ltd,Coal,Sokoto Gypsum Deposit,Small-Scale Mining,03.05.2018,04 April 2022,n/a,"₦105,208,443,862.27",3651917528.07 naira,Abandoned,83885160607,Kogi,No,0
MML600025,Funmilayo Adekunle Mining Ltd,Lead,Plateau Mining Zone,small-scale mining,01/02/2021,24-Sep-2025,15456.8,"N15,363,028,746",951175719.69 naira,Active,+234474687234,Benue,false,N
MML600159,  Blessing Adeyemi Mining Ltd,Lead,Nasarawa Barytes Mine,small-scale mining,21-Aug-2014,2021-06-11,77156.76,"₦127,892,620,515.75",--,INACTIVE,234-369-711-798,Sokoto,0,FALSE
MML600296,Tobi Nnamdi Mining Ltd,GOLD,Plateau Mining Zone,Small-Scale Mining,00/00/0000,2015-10-14,40528.5 short tons,"₦164,650,317,834.51","₦6,744,311,455.95",Reclaimed,0899 940 4389,Zamfara,N,N
MML600342,Tobi Nnamdi Mining Ltd,Columbite,Zamfara Gold Belt,MINING LEASE,05 November 2021,07/07/2030,51781.65,"NGN 142,545,162,081",,Reclaimed,00629620153,Nasarawa,yes,0
MML600046,Sadiq Suleiman Mining Ltd,Gold,Nasarawa Barytes Mine,Exploration,2018/03/31,2020-07-13,64821.6,"₦168,843,739,741.44","₦10,517,083,196.43",Active,(773) 872-1489,Cross River,1,1
MML600449,chinedu suleiman mining ltd,Iron Ore,Zamfara Gold Belt,MINING LEASE,14 April 2018,02/10/2022,36185.0,"₦110,499,344,966.77",6704365436.56 naira,active,0425 799 1366,Cross River,false,TRUE
MML600114,Sadiq Olawale Mining Ltd,Iron ore,Ebonyi Lead-Zinc Site,MINING LEASE,05/26/2011,04/10/2017,56307.9,"₦35,566,990,593.10",,Abandoned,0053 293 1839,Zamfara,TRUE,no
MML600335,ZAINAB AFOLABI MINING LTD,Columbite,Benue Coal Field,Exploration,14.02.2012,10.01.2022,?,88625587667.36 naira,"N6,203,628,743",Reclaimed,05392644220,Kogi,FALSE,false
MML600353,Chinedu Chukwu Mining Ltd,Limestone,Benue Coal Field,exploration,2019/02/28,01/06/2027,25066.46,"NGN 111,155,028,941","6,117,774,068.27 ",Suspended ,+234861622999,Benue,no,Y
MML600438,Adaeze Chukwu Mining Ltd,Tin,Zamfara Gold Belt,Quarry lease,14/08/2020,,74369.69,"NGN 252,121,374,499","N15,706,462,603",Active,80392827229,Ebonyi,false,Y
MML600186,Yusuf Okonkwo Mining Ltd,Columbite ,Ebonyi Lead-Zinc Site,Quarry Lease,11 January 2018,2026-08-04,38991.52,117377283085.45,"N7,666,257,886",INACTIVE,(153) 714-7321,Cross River,1,TRUE
MML600069,Adaeze Adeyemi Mining Ltd,Columbite ,Kogi Iron Ore Field,MINING LEASE,2018-03-15,01 September 2027,12263.15,"NGN 33,490,173,751",1542406140.28 naira,active,04363495788,Ebonyi,no,true
MML600185,Kunle Adeyemi Mining Ltd,Lead,Plateau Mining Zone,Mining Lease,04/02/2018,08 May 2025,69661.26 short tons,253567491491.05 naira,15944592811.49 naira,Reclaimed,+234925556258,Benue,false,No
MML600314,Zainab Adeyemi Mining Ltd,Barite,Sokoto Gypsum Deposit,Exploration,02.04.2010,2018/11/05,23226.81,"NGN 46,707,443,958","₦1,733,668,649.13",Active,0000000000,Cross River,N,no
MML600271,Tobi Ajayi Mining Ltd,Iron ore,Sokoto Gypsum Deposit,exploration,04-Jan-2021,29-Dec-2030,36750.75,133709214481.29 naira,"₦5,669,812,522.31",INACTIVE,41918255371,Cross River,true,true
MML600320,emeka afolabi mining ltd,Lead,Sokoto Gypsum Deposit,Mining Lease,2011-10-03,07/13/2017,61624.21,"N88,492,995,092","₦5,209,312,773.21",Abandoned,0000000000,Benue,No,yes
MML600383,Tunde Afolabi Mining Ltd,Lead,Ebonyi Lead-Zinc Site,MINING LEASE,19 December 2021,17-Nov-2028,3325.7,"N9,708,555,430","318,228,627.79 ",Inactive,(046) 184-9926,Zamfara,Yes,N
MML600172,Emeka Eze Mining Ltd,Zinc,Benue Coal Field,Quarry lease,09.04.2016,04/29/2022,--,9687901691.75 naira,"513,804,736.57 ",INACTIVE,234-192-856-543,Nasarawa,TRUE,FALSE
MML600062,Halima Bello Mining Ltd,Limestone,Nasarawa Barytes Mine,exploration,04/02/2016,2020-01-19,81644.22,"NGN 13,496,962,536","₦505,352,218.22",Suspended,0966 319 3149,Zamfara,true,no
MML600152,Bisi Afolabi Mining Ltd,Coal,Kogi Iron Ore Field,Exploration,2012-05-01,,50385.86 short tons,"N145,227,978,100","NGN 10,027,840,394",active,0834 735 9774,Benue,1,no
MML600194,Halima Adekunle Mining Ltd,Lead,Benue Coal Field,Exploration,2017-11-22,2022-11-16,53144.82,"₦58,518,356,917.10",4045360594.82,Reclaimed,(578) 729-8259,Kogi,1,yes
MML600042,  Ngozi Ajayi Mining Ltd   ,Columbite,Zamfara Gold Belt,Exploration,2014-08-25,03/22/2022,null,"₦71,959,194,416.94",3104491063.83 naira,Inactive,234-934-060-883,Zamfara,0,TRUE
MML600178,Wale Ajayi Mining Ltd,Lead,Nasarawa Barytes Mine,small-scale mining,25-Nov-2015,14/10/2017,35890.64,"N40,055,751,517","NGN 2,426,638,783",Abandoned,06912517785,Kogi,Yes,TRUE
MML600002,Chidi Ogundimu Mining Ltd,Iron ore,Zamfara Gold Belt,small-scale mining,2012/03/03,12.03.2017,72037.1,"₦197,135,347,599.10",12278600936.33,Inactive,00013389083,Benue,yes,0
MML600287,Funmilayo Balogun Mining Ltd,COAL,Benue Coal Field,Small-Scale Mining,2020-05-03,2029/11/16,38244.27,"N78,338,896,752",5064909094.32,active,06374545892,Zamfara,N,FALSE
MML600050,Grace Balogun Mining Ltd,Tin ,Ebonyi Lead-Zinc Site,MINING LEASE,14/04/2013,2017/02/25,16768.5,"₦45,789,331,861.26","NGN 2,766,069,974",Abandoned,invalid,Nasarawa,No,true
MML600277,Aliyu Chukwu Mining Ltd,Columbite,Cross River Barite Site,exploration,04/07/2020,12/23/2022,75069.8,245277641861.97 naira,NULL,Reclaimed,06887676772,Ebonyi,yes,no
MML600317,Yusuf Olawale Mining Ltd,limestone,Zamfara Gold Belt,MINING LEASE,not set,26 April 2027,78587.08,"N273,699,822,731","NGN 9,666,327,102",Inactive,12775618537,Benue,N,FALSE
MML600377,  Amara Eze Mining Ltd   ,Columbite,Zamfara Gold Belt,Mining Lease,2016-03-02,02/04/2018,79472.98,"₦225,870,088,100.24",,Inactive,0058 300 3354,Benue,no,true
MML600407,Musa Nwosu Mining Ltd,Tin,Benue Coal Field,Small Scale,2011/04/10,2013-09-10,37277.53,48742312631.79,2074718259.15,Abandoned,234-452-288-515,Nasarawa,true,N
MML600074,Grace Adeyemi Mining Ltd,Coal,Cross River Barite Site,small-scale mining,16.09.2020,01/01/2029,16954.16,--,"₦3,152,282,793.44",active,07775204711,Nasarawa,FALSE,FALSE
