StockID,DrugName,DrugClass,SupplierName,UnitCostPrice,UnitSellingPrice,QuantityReceived,QuantityDispensed,ClosingStock,BatchNumber,ExpiryDate,ReceiptDate,StorageCondition,NafdacApproved,State
PH400166,Omeprazole 20mg Cap,GI Drugs,Emzor Pharmaceutical,N410,642.04,-10,0,-10,BN79472,18.06.2026,unknown date,room temp,No,KANO
PH400226,Omeprazole 20mg Cap,GI Drugs,Emzor Pharmaceutical,NGN 410,₦517.83,0,0,0,BN73249,2027-08-12,09/05/2024,COLD CHAIN,Yes,Delta
PH400364,Metformin 850mg Tab,Antidiabetics,Evans Medical,NGN 350,463.20 naira,3886,3355,531,BN27662,not set,2024/01/20,Controlled,No,Plateau
PH400293,Omeprazole 20mg Cap,GI Drugs,Emzor Pharmaceutical,₦410.00,NGN 578,-10,0,-10,BN68316,01/25/2026,22 August 2024,room temp,Yes,Edo
PH400413,Ibuprofen 400mg Tab,ANALGESICS,May & Baker Nigeria,180.00 ,₦248.77,-10,0,-10,BN59774,07/06/2025,09/06/2024,Controlled,No,Kano
PH400105,Ibuprofen 400mg Tab,Analgesics,Fidson Healthcare,180,,0,-,0,BN90419,2025/08/25,N/A,Refrigerated,FALSE,Imo
PH400134,Omeprazole 20mg Cap,GI Drugs,Emzor Pharmaceutical,NGN 410,477.65,-10,0,-10,BN17976,24-Jan-2026,04/20/2025,Ambient Temperature,No,Ogun
PH400391,Ibuprofen 400mg Tab,?,Emzor Pharmaceutical,NGN 180,212.68,-10,0,-10,BN47480,30.11.2026,25/06/2024,Controlled,no,Anambra
PH400229,Amoxicillin 500mg Cap,Antibiotics,May & Baker Nigeria,480,731.16 ,570,378,192,BN59771,2025/08/06,04/05/2025,Refrigerated,0,Fct Abuja
PH400407,Lisinopril 10mg Tab,Antihypertensives,Swipha Nigeria,₦320.00,489.23 naira,898,895,3,BN83922,30.08.2026,N/A,Refrigerated,Y,ABUJA
PH400288,Amoxicillin 500mg Cap,Antibiotics,Fidson Healthcare,₦480.00,682.03 ,0,0,0,BN88854,02/22/2027,04/10/2025,Controlled,true,Oyo
PH400152,Diazepam 5mg Tab,Anxiolytics,May & Baker Nigeria,₦550.00,754.02 naira,3311,1770,1541,BN61064,03 February 2026,04.05.2025,room temp,true,Delta
PH400325,Amoxicillin 500mg Cap,Antibiotics,May & Baker Nigeria,480,n/a,0,0,0,unknown,13/03/2027,07-Jul-2024,Controlled,N,Cross River
PH400177,Cotrimoxazole  480mg Tab,ANTIBIOTICS,Emzor Pharmaceutical,₦200.00,-,-10,0,-10,BN53185,21/12/2024,26 January 2025,COLD CHAIN,0,Edo
PH400120,Insulin Glargine 100IU/mL,Antidiabetics,May & Baker Nigeria,"₦8,500.00","₦13,314.78",-10,0,-10,,2025/08/29,07/03/2024,Ambient Temperature,false,Imo
PH400142,Amoxicillin 500mg Cap,antibiotics,Fidson Healthcare,480.00 naira,733.05 ,0,0,0,BN99622,25-Nov-2026,2024/12/03,Refrigerated,1,Imo
PH400031,Cotrimoxazole 480mg Tab,antibiotics,Swipha Nigeria,₦200.00,303.94 naira,-10,0,-10,BN22514,23/12/2025,unknown date,Ambient Temperature,0,Kaduna
PH400263,Artemether-Lumefantrine 80/480,antimalarials,Emzor Pharmaceutical,N650,905.46,0,0,0,BN30350,23.10.2025,27 June 2025,Ambient Temperature,yes,Enugu
PH400014,Multivitamin Syrup,supplements,Emzor Pharmaceutical,780.00 ,"NGN 1,136",-10,0,-10,BN60880,05-May-2025,19.03.2025,Cold Chain (2-8°C),TRUE,Oyo State
PH400163,Amoxicillin 500mg Cap,Antibiotics,Evans Medical,480,748.84,-10,0,-10,BN63245,2025/04/20,19.11.2024,room temp,0,Delta
PH400357,Cotrimoxazole 480mg Tab,null,Evans Medical,₦200.00,234.92,4340,1523,2817,BN48461,03/07/2026,11 May 2024,Cold Chain (2-8°C),Yes,Plateau
PH400036,Ibuprofen 400mg Tab,Analgesics,Swipha Nigeria,180.00 naira,217.97 ,0,0,0,BN55579,27-Jun-2026,08/03/2024,COLD CHAIN,No,Kaduna
PH400430,Ibuprofen 400mg Tab,Analgesics,Evans Medical,N180,NGN 239,N/A,1104,1693,BN64803,2025-01-02,2025-02-11,Cold Chain (2-8°C),0,Ogun
PH400289,Omeprazole 20mg Cap,GI Drugs,Emzor Pharmaceutical,410,NGN 656,3570,3397,173,BN42094,06/11/2024,2025-05-23,COLD CHAIN,No,Anambra
PH400404,Ibuprofen 400mg Tab,Analgesics,Evans Medical,180.00 ,237.68 ,NIL,0,0,BN28927,not set,15 March 2024,COLD CHAIN,Y,Kaduna
PH400253,Multivitamin Syrup,Supplements,Fidson Healthcare,N780,"NGN 1,240",0,0,0,--,05/09/2026,01/14/2024,COLD CHAIN,0,Cross River
PH400206,Lisinopril 10mg Tab,Antihypertensives,Emzor Pharmaceutical,320,433.14,-10,0,-10,BN29242,00/00/0000,2024-04-20,Ambient Temperature,no,Ogun
PH400108,Insulin Glargine 100IU/mL   ,ANTIDIABETICS,Emzor Pharmaceutical,"₦8,500.00","N11,974",0,0,0,BN24697,2025/03/11,2024/08/24,room temp,yes,Delta
PH400057,Diazepam 5mg Tab,ANXIOLYTICS,May & Baker Nigeria,NGN 550,652.60 naira,0,0,0,BN47986,2026/03/11,2024/05/13,room temp,No,Anambra
PH400098,Artemether-Lumefantrine 80/480,antimalarials,Emzor Pharmaceutical,₦650.00,1023.81,1065,721,344,BN26106,03/06/2026,07 June 2024,Refrigerated,no,Oyo
PH400238,Paracetamol 1000mg Tab,N/A,Swipha Nigeria,N120,183.3,0,0,0,BN30460,21/11/2024,18-Dec-2024,Ambient Temperature,Y,Lagos
PH400355,Cotrimoxazole 480mg Tab,Antibiotics,Emzor Pharmaceutical,200,₦233.87,0,0,0,BN95268,2027/07/09,2024/03/13,Ambient Temperature,false,Rivers State
PH400068,Insulin Glargine 100IU/mL,Antidiabetics,Emzor Pharmaceutical,8500,"N12,054",0,0,0,BN18020,03 March 2027,08.01.2025,Ambient Temperature,0,Abuja
PH400010,Insulin Glargine 100IU/mL,ANTIDIABETICS,Emzor Pharmaceutical,"NGN 8,500",13208.09,0,0,,BN40440,05/18/2026,12/15/2024,COLD CHAIN,Y,Enugu
PH400331,Cotrimoxazole 480mg Tab,Antibiotics,Evans Medical,NGN 200,NGN 271,2839,977,1862,BN53114,01.05.2027,05/06/2025,ambient,FALSE,Imo
PH400394,Multivitamin Syrup,Supplements,May & Baker Nigeria,780.00 naira,"₦1,127.94",0,0,,BN44832,2027-06-25,13.02.2024,room temp,N,Cross River
PH400273,Ibuprofen 400mg Tab,Analgesics,Swipha Nigeria,180.00 ,NGN 286,4882,2090,2792,BN12189,25.06.2026,06-Aug-2024,Ambient Temperature,no,KANO
PH400175,Omeprazole 20mg Cap,GI Drugs,Swipha Nigeria,NGN 410,NGN 619,3442,2903,,BN51272,19/01/2025,28/01/2025,Cold Chain (2-8°C),0,Edo
PH400409,Multivitamin Syrup,Supplements,Swipha Nigeria,N780,1030.92,544,78,466,BN39019,10/05/2025,2024-07-31,Ambient Temperature,yes,kano
PH400203,Cotrimoxazole 480mg Tab,Antibiotics,Evans Medical,₦200.00,287.35,0,0,0,BN96508,2027-06-27,02 August 2024,COLD CHAIN,FALSE,Kano
PH400197,Omeprazole 20mg Cap,gi drugs,May & Baker Nigeria,₦410.00,₦655.26,-10,0,-10,BN35198,06 March 2025,23-Nov-2024,Controlled,no,Ogun
PH400271,Omeprazole 20mg Cap,gi drugs,Swipha Nigeria,NGN 410,₦498.89,  ,0,-10,BN10417,07.11.2026,2024-02-13,ambient,N,Anambra
PH400161,Insulin Glargine 100IU/mL,Antidiabetics,Fidson Healthcare,"₦8,500.00","NGN 13,145",3697,1856,1841,BN82299,28.02.2026,2025/05/07,Refrigerated,yes,Lagos
PH400281,Metformin 850mg Tab,Antidiabetics,Fidson Healthcare,N350,504.36 naira,4628,NIL,3693,BN13853,2027/02/27,19.06.2025,room temp,FALSE,Edo
PH400387,Lisinopril 10mg Tab,antihypertensives,Emzor Pharmaceutical,NGN 320,508.03,-10,0,-10,BN96802,14 May 2027,2024-03-05,room temp,Y,Cross River
PH400347,Diazepam 5mg Tab,ANXIOLYTICS,Evans Medical,₦550.00,n/a,3022,1539,1483,BN53825,05/19/2026,04-Jan-2024,Refrigerated,N,Enugu
PH400417,Metformin 850mg Tab,Antidiabetics,Fidson Healthcare,350.00 naira,466.46 ,0,0,0,BN64174,,25 August 2024,room temp,false,Ogun
PH400221,Cotrimoxazole 480mg Tab,Antibiotics,Fidson Healthcare,N200,305.95 naira,-10,0,-10,null,30/03/2025,2024/06/13,ambient,false,Enugu
PH400335,Amoxicillin 500mg Cap,ANTIBIOTICS,Swipha Nigeria,NGN 480,N582,-10,0,-10,BN54041,14-Mar-2025,2024-05-17,Controlled,FALSE,Akwa Ibom
PH400056,Artemether-Lumefantrine 80/480,Antimalarials,May & Baker Nigeria,650,1006.19,-10,0,-10,BN50773,29-Oct-2025,2024/01/17,room temp,N,Edo
PH400125,Insulin Glargine 100IU/mL,Antidiabetics,Fidson Healthcare,"NGN 8,500","₦12,831.40",3173,3029,144,BN70338,09/18/2027,01/27/2024,room temp,Y,Kano
PH400053,Metformin 850mg Tab,Antidiabetics,Swipha Nigeria,350.00 naira,479.1,0,0,0,BN16781,2027/04/04,2025-03-13,Ambient Temperature,TRUE,Kano
PH400180,Diazepam 5mg Tab,Anxiolytics,Emzor Pharmaceutical,550.00 naira,NGN 783,-10,0,-10,BN19111,23-Nov-2026,26.02.2025,Cold Chain (2-8°C),1,Ibadan
PH400369,Multivitamin Syrup,n/a,Fidson Healthcare,780.00 naira,994.96 ,4184,3039,1145,BN67075,2026/01/07,26.02.2025,Ambient Temperature,yes,Kano
PH400047,Paracetamol 1000mg Tab,ANALGESICS,Swipha Nigeria,NGN 120,NGN 190,-10,0,-10,BN61215,02 September 2025,01/01/2024,Ambient Temperature,yes,Ogun
PH400428,Amlodipine 5mg Tab   ,ANTIHYPERTENSIVES,Swipha Nigeria,290.00 naira,N355,-10,0,-10,BN53578,2026/05/09,2024-07-01,Cold Chain (2-8°C),TRUE,Plateau
PH400400,Paracetamol 1000mg Tab,analgesics,Emzor Pharmaceutical,₦120.00,NGN 183,-10,0,-10,?,16/03/2025,16 May 2025,Ambient Temperature,No,Cross River
PH400034,Ibuprofen 400mg Tab,Analgesics,Swipha Nigeria,180.00 naira,₦252.22,598,330,268,BN47942,2025-08-21,12/29/2024,Controlled,1,Cross River
PH400250,Ibuprofen 400mg Tab,ANALGESICS,May & Baker Nigeria,NGN 180,286.72,-10,0,,BN86037,31-Oct-2026,01/26/2025,COLD CHAIN,no,Edo
PH400297,Insulin Glargine 100IU/mL,Antidiabetics,Fidson Healthcare,8500,"N12,140",53,4,49,BN93705,2025/02/28,19-Jul-2024,Ambient Temperature,Yes,Delta
PH400316,Paracetamol 1000mg Tab,Analgesics,May & Baker Nigeria,NGN 120,NGN 144,3219,2717,502,BN14273,18.11.2026,09/11/2024,COLD CHAIN,true,Edo
PH400352,Paracetamol 1000mg Tab,Analgesics,May & Baker Nigeria,₦120.00,NGN 171,-10,0,-10,  ,29 August 2027,01.11.2024,Cold Chain (2-8°C),0,Akwa Ibom
PH400237,Amoxicillin 500mg Cap,antibiotics,Emzor Pharmaceutical,480.00 naira,619.98 naira,1829,268,1561,NULL,unknown date,2024-05-16,Cold Chain (2-8°C),0,Rivers
PH400260,Amoxicillin 500mg Cap,ANTIBIOTICS,Emzor Pharmaceutical,N480,595.51,-,NULL,,BN94172,2027-04-09,2024/07/25,Ambient Temperature,1,Oyo State
PH400095,Amoxicillin 500mg Cap,Antibiotics,May & Baker Nigeria,480,572.31 naira,4599,2584,2015,BN20811,2025-07-05,22-Apr-2025,Controlled,Yes,Akwa Ibom
PH400302,Insulin Glargine 100IU/mL,Antidiabetics,Evans Medical,8500,"₦11,313.47",-10,0,-10,BN38050,14/12/2024,10.08.2024,COLD CHAIN,Y,Lagos
PH400294,Diazepam 5mg Tab,N/A,Evans Medical,N550,NGN 739,-10,0,-10,BN48326,2027/09/11,05.09.2024,ambient,yes,Kaduna
PH400366,Artemether-Lumefantrine 80/480,null,Fidson Healthcare,N650,930.25,0,0,0,BN72591,18.03.2027,23.04.2024,COLD CHAIN,1,Kano
PH400001,Diazepam 5mg Tab,Anxiolytics,Evans Medical,₦550.00,NGN 681,0,0,0,BN91721,2027/06/04,00/00/0000,room temp,1,Kano
PH400419,Amlodipine 5mg Tab,ANTIHYPERTENSIVES,May & Baker Nigeria,N290,₦393.47,3703,3327,376,BN43838,05/06/2027,23-May-2025,room temp,yes,Cross River
PH400282,Metformin 850mg Tab,Antidiabetics,Fidson Healthcare,350,477.97 naira,-10,0,-10,BN67624,09-Jul-2027,11/07/2024,room temp,N,Cross River
PH400115,Lisinopril 10mg Tab,ANTIHYPERTENSIVES,May & Baker Nigeria,₦320.00,410.16 ,0,0,0,BN64587,2027/02/01,12-Sep-2024,Ambient Temperature,false,Delta
PH400312,Lisinopril 10mg Tab,Antihypertensives,May & Baker Nigeria,₦320.00,N465,0,0,0,BN78971,19-Jul-2027,01/25/2024,Cold Chain (2-8°C),No,Akwa Ibom
PH400257,Multivitamin Syrup,SUPPLEMENTS,May & Baker Nigeria,780.00 naira,"₦1,221.75",0,0,0,BN40009,2027-04-16,2024-05-26,Controlled,1,Akwa Ibom
PH400011,Ibuprofen 400mg Tab,Analgesics,Swipha Nigeria,NGN 180,215.12 ,-10,0,-10,BN22108,20.11.2024,11 November 2024,ambient,Y,Akwa Ibom
PH400066,Artemether-Lumefantrine 80/480,Antimalarials,Evans Medical,NGN 650,NIL,639,387,252,BN15013,19 April 2026,28-Jul-2024,ambient,N,Lagos State
PH400024,Lisinopril 10mg Tab,Antihypertensives,Evans Medical,N320,NGN 369,62,27,35,BN27921,2027-08-25,06-Jun-2024,Controlled,Y,Plateau
PH400426,Amoxicillin 500mg Cap,antibiotics,May & Baker Nigeria,480,NGN 611,0,0,0,BN19462,26.01.2025,N/A,Ambient Temperature,TRUE,Ogun
PH400292,Omeprazole 20mg Cap,GI Drugs,Emzor Pharmaceutical,410,NGN 501,-,0,0,BN58193,2025/01/18,02.09.2024,Cold Chain (2-8°C),TRUE,Oyo
PH400079,Diazepam 5mg Tab,null,May & Baker Nigeria,550,NGN 741,4456,519,3937,NULL,01/23/2025,01/30/2024,room temp,true,Plateau
PH400153,Metformin 850mg Tab,Antidiabetics,Evans Medical,₦350.00,N411,N/A,0,0,BN50353,10/08/2026,06.02.2024,ambient,yes,kano
PH400196,Amoxicillin 500mg Cap,ANTIBIOTICS,May & Baker Nigeria,₦480.00,₦583.71,null,0,0,BN65119,2025-03-16,2024/04/30,Controlled,true,Enugu
PH400039,Amlodipine 5mg Tab,ANTIHYPERTENSIVES,Fidson Healthcare,NGN 290,₦459.70,0,0,0,BN59566,01 April 2025,2025/04/22,COLD CHAIN,1,Oyo State
PH400101,Insulin Glargine 100IU/mL,ANTIDIABETICS,Swipha Nigeria,8500.00 naira,12212.31 naira,-10,0,-10,BN62859,17.06.2026,01/10/2024,Refrigerated,no,kano
PH400119,Cotrimoxazole 480mg Tab,Antibiotics,Emzor Pharmaceutical,200,301.69 naira,-10,0,-10,BN88328,2026/05/18,06/24/2025,Cold Chain (2-8°C),yes,Imo
PH400362,Amoxicillin 500mg Cap,ANTIBIOTICS,Emzor Pharmaceutical,N480,N735,0,0,0,BN20076,2025-10-05,07.04.2025,Controlled,yes,Edo
PH400217,Ibuprofen 400mg Tab,Analgesics,Emzor Pharmaceutical,NGN 180,NGN 225,0,0,0,BN99988,2027-06-20,04/08/2025,Refrigerated,N,Lagos
PH400110,Lisinopril 10mg Tab,NULL,Fidson Healthcare,320.00 naira,N389,0,0,0,BN87012,N/A,09/02/2024,room temp,no,Edo
PH400354,Multivitamin Syrup,NULL,Swipha Nigeria,780.00 ,NGN 957,4206,3219,987,-,2025/02/11,11/16/2024,ambient,true,abuja
PH400052,Ibuprofen 400mg Tab,analgesics,Emzor Pharmaceutical,180,N260,0,0,0,BN37990,13.03.2027,2024/05/13,Cold Chain (2-8°C),FALSE,abuja
PH400269,Multivitamin Syrup,Supplements,Evans Medical,780,1163.42,559,123,436,BN31213,not set,2024/06/26,Ambient Temperature,yes,Kano
PH400028,Artemether-Lumefantrine 80/480,ANTIMALARIALS,Swipha Nigeria,?,NIL,0,0,0,BN75910,2025/02/14,15/06/2025,Refrigerated,false,Enugu
PH400084,Ibuprofen 400mg Tab,Analgesics,May & Baker Nigeria,₦180.00,NGN 234,-10,0,,BN35663,2025/05/06,16-Apr-2025,COLD CHAIN,N,Akwa Ibom
PH400076,Metformin 850mg Tab,Antidiabetics,Evans Medical,350.00 naira,NGN 519,4925,1104,3821,BN49064,26-Jul-2027,04/06/2025,COLD CHAIN,0,Edo
PH400228,Metformin 850mg Tab,ANTIDIABETICS,Evans Medical,350,462.43 naira,4773,3552,1221,BN27810,2024/12/19,14-Mar-2025,ambient,no,Akwa Ibom
PH400315,Cotrimoxazole 480mg Tab,antibiotics,Swipha Nigeria,₦200.00,NGN 278,-10,0,-10,BN26717,2025-06-25,19.08.2024,room temp,TRUE,Anambra
PH400140,Cotrimoxazole 480mg Tab,ANTIBIOTICS,Fidson Healthcare,₦200.00,NGN 294,-10,0,-10,BN37663,13.04.2026,01/06/2024,Controlled,1,Lag
PH400002,Amoxicillin  500mg Cap,Antibiotics,May & Baker Nigeria,480.00 naira,649.00 ,3915,1426,2489,BN97148,14.04.2025,N/A,Ambient Temperature,Y,Anambra
PH400109,Omeprazole 20mg Cap,unknown,Evans Medical,₦410.00,652.74,2439,349,2090,BN78582,2026-08-01,2025/01/04,Controlled,true,LAGOS
PH400198,Multivitamin Syrup,SUPPLEMENTS,May & Baker Nigeria,₦780.00,1174.07 naira,-10,0,-10,BN16518,2025-11-20,01/03/2024,Refrigerated,N,Edo
PH400405,Lisinopril 10mg Tab,antihypertensives,Fidson Healthcare,₦320.00,N421,-10,0,-10,BN78073,02-Feb-2025,15-Jul-2024,COLD CHAIN,No,Cross River
PH400240,Insulin Glargine 100IU/mL,antidiabetics,Swipha Nigeria,8500,"NGN 11,386",0,0,0,BN45665,02/13/2026,unknown date,Refrigerated,No,Cross River
PH400286,Paracetamol 1000mg Tab,Analgesics,Evans Medical,NGN 120,₦146.35,-10,0,-10,BN59572,2025/12/11,09/04/2024,COLD CHAIN,false,Cross River
